Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39136267509587397
5,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39136731286627047
10,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39162544449899694
15,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915211753591764
20,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39142333738278634
25,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3914137716400026
30,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3912840659051797
35,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916903063854833
40,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39142809369238574
45,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3913601023064882
50,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915865380412745
55,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39184848323783295
60,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39150494612609243
65,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916259442282509
70,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916610044579979
75,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39143883903128174
80,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915707311124549
85,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39179191894330956
90,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916426788078109
95,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915161513637071
100,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39151529468526614
105,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3917103531374406
110,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39170651125304634
115,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916447758427951
120,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915404256178767
125,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.391505513364491
130,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3912696918847527
135,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3917526260024766
140,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39145732055640914
145,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39137606539678815
150,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39165313999633544
155,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39141474463887294
160,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39120905882305923
165,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3912636029465987
170,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3913318649405936
175,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39169664400700355
180,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3913405256076231
185,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39142672910070553
190,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39146870882049245
195,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39174379482843524
200,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.391517361987032
205,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39151360899576837
210,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39178475151141734
215,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916610948533068
220,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915789865233992
225,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39141387734212896
230,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39190146867735265
235,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3917626592931619
240,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3912506962480965
245,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.391464956933525
250,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3913353254743005
255,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39154960836080743
260,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39137990935148914
265,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915406611528629
270,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916709809938037
275,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915367070368221
280,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915440147189766
285,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3918960896652749
290,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39142441366713443
295,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3917138701550088
300,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39161256576118897
305,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.391621471862193
310,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39161552526006227
315,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915880905394328
320,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3913991568922772
325,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915762084109514
330,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.391505429552065
335,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3913815130922321
340,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915371847341321
345,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39184182200146267
350,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3914901642207005
355,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3914398841106179
360,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39129479599608996
365,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3913916094347276
370,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39112974939465783
375,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39143393412171523
380,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3913633159315084
385,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39132678565248447
390,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39162668730120465
395,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3911396743414519
400,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916903455878119
405,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39138667497872304
410,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39165956909239474
415,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915885472469822
420,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39148393169955853
425,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39134438925524506
430,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3914399424793201
435,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.391551379058667
440,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3914984678816993
445,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916862670754475
450,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39163558245277597
455,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915286193925276
460,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39171904010988934
465,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915742778933111
470,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39158635031326705
475,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39113882690012114
480,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39172539246019533
485,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916278680080114
490,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3913662327846753
495,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915698621813004
500,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39129975173369846
505,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39123238168002383
510,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3918825146524978
515,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3913253368218155
520,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3914182420266542
525,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3911967398246048
530,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916993594515593
535,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39148998951341085
540,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915394894466794
545,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915243567521828
550,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39130600529182724
555,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39138743309344026
560,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39153376028903564
565,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3913886133714709
570,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39118376447949244
575,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915388034928019
580,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39143042098363123
585,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39136140247943507
590,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915211844316637
595,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916474168911154
600,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39161824513075827
605,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39176274137543377
610,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39146462685215033
615,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39157832750649
620,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39146688107979033
625,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916137601893458
630,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39151009992145813
635,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915634764243239
640,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39140893913312547
645,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39125207736427337
650,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915094165531733
655,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916782276726245
660,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39147940234821876
665,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.391320828473507
670,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39139609253268626
675,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39129335062825055
680,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39132791952745916
685,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39140978674641835
690,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39139010521004736
695,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39146178101910134
700,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39185567856500425
705,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3914605370921106
710,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39131015179531536
715,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3914335045699018
720,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39147467385679635
725,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3918578207139318
730,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915529609092602
735,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3914433468668186
740,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.391515708656047
745,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915277718818805
750,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3914825671372636
755,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3915114031801621
760,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39147202896380595
765,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3916741312355596
770,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3912516219035942
775,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3917668016760668
780,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39149273536036056
785,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39150064345637114
790,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39148209848590954
795,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39150393122869553
800,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39159947174870313
805,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.39160771567332897
810,centralized,cdp,0.0001,1e-05,0.0,0.0001334404233484742,0,25,0.3913286649986246
