Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33308851168889797
5,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33171069477602155
10,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33141229945924133
15,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.331035157582814
20,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3310401238351668
25,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33052663463530296
30,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33039763562870383
35,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3306426149900248
40,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.331009007756886
45,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3309120961881816
50,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33128382347135676
55,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3317023710026268
60,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3318307759104039
65,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3317015169470675
70,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3314422154640537
75,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33089823608403424
80,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33086133804735485
85,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33083921005748074
90,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33081394082305926
95,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33096272233736435
100,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3309470133371627
105,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3307132179148934
110,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.330310570556855
115,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33075079677421315
120,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3309333456256931
125,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33046053403482256
130,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3306159224635996
135,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3307450080665334
140,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33113713798344446
145,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33088023004746125
150,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3307775359391639
155,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33086046354768517
160,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3314026320160417
165,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33140820849747954
170,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33183699641453723
175,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3315948283929405
180,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33140805674960205
185,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3316827219445838
190,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3315549168888783
195,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3316847765887142
200,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33199400821548797
205,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33181131849157497
210,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33198530691793093
215,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3313374214566712
220,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3318152670736664
225,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33140300794412847
230,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33185933556353464
235,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33181580542635236
240,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33147582603907455
245,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33168857951291575
250,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3316735938113945
255,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3319387314364357
260,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3325746758269399
265,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33200720218070545
270,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3328129998429584
275,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3320646746572643
280,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3317182960557
285,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3324890349212909
290,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3321480540611297
295,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3321063178742002
300,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3322375681185863
305,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3319819348215697
310,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3319912654752948
315,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.331825375872958
320,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3318018914030253
325,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3318394696052406
330,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3316486059730074
335,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33222288986159454
340,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33220554845723815
345,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3318621527446234
350,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33223837822546753
355,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.33247019540103817
360,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3319673890801358
365,centralized,cdp,0.1,0.0001,0.0,0.006002211319817644,0,3,0.3324455392989768
