,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
0,centralized,0.0001,1e-05,0.0,0.0006002211319817645,0,5000,0.39148224226227424
1,centralized,0.0001,0.0001,0.0,0.006002211319817644,0,5000,0.33896449529059963
2,centralized,0.0001,0.001,0.0,0.06002211319817644,0,5000,0.40910233065495843
3,centralized,0.0001,0.01,0.0,0.6002211319817644,0,5000,0.42049572014121256
4,centralized,0.0001,0.1,0.0,6.002211319817644,0,5000,0.34954772024683495
5,centralized,0.005,1e-05,0.0,0.0006002211319817645,0,5000,0.38675412850296353
6,centralized,0.005,0.0001,0.0,0.006002211319817644,0,5000,0.37667588117550743
7,centralized,0.005,0.001,0.0,0.06002211319817644,0,5000,0.30782066086926824
8,centralized,0.005,0.01,0.0,0.6002211319817644,0,5000,0.24294219379819262
9,centralized,0.005,0.1,0.0,6.002211319817644,0,5000,0.3168231633568623
10,centralized,0.01,1e-05,0.0,0.0006002211319817645,0,5000,0.3175038714869491
11,centralized,0.01,0.0001,0.0,0.006002211319817644,0,5000,0.3243402857883394
12,centralized,0.01,0.001,0.0,0.06002211319817644,0,5000,0.30255573180445583
13,centralized,0.01,0.01,0.0,0.6002211319817644,0,5000,0.2500871609296092
14,centralized,0.01,0.1,0.0,6.002211319817644,0,5000,0.26970261371239257
15,centralized,0.05,1e-05,0.0,0.0006002211319817645,0,5000,0.379521705934688
16,centralized,0.05,0.0001,0.0,0.006002211319817644,0,5000,0.31694443114226983
17,centralized,0.05,0.001,0.0,0.06002211319817644,0,5000,0.250996945707288
18,centralized,0.05,0.01,0.0,0.6002211319817644,0,5000,0.15067503277414326
19,centralized,0.05,0.1,0.0,6.002211319817644,0,5000,2.2700000647290333
20,centralized,0.1,1e-05,0.0,0.0006002211319817645,0,5000,0.41870418315807345
21,centralized,0.1,0.0001,0.0,0.006002211319817644,0,5000,0.3144232280599009
22,centralized,0.1,0.001,0.0,0.06002211319817644,0,5000,0.24075561020310557
23,centralized,0.1,0.01,0.0,0.6002211319817644,0,5000,0.35214475309863685
24,centralized,0.1,0.1,0.0,6.002211319817644,0,5000,9.67174629234635
