Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.39136267509587397
5,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.47243645441958915
10,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.450232103865294
15,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.4210964938069709
20,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.38792517298755413
25,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.37273778577825456
30,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.3590657521839766
35,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.34616375808771327
40,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.3250993636496776
45,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.31136648587121585
50,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.29426166447072644
55,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2832192754761744
60,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2732464991922906
65,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2827568549975237
70,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2839600120605017
75,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.27981133322367935
80,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.274327730004558
85,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.27343265132050265
90,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.26761823353820213
95,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.27106315323638397
100,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.26601980309111883
105,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.25172594583503904
110,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.25011156690928205
115,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.25464205170137266
120,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2534855483944497
125,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.27183701591756704
130,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.272977589685075
135,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.28318992380095465
140,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2785498932162681
145,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.26549978477886704
150,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2774766316259464
155,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2782507196125028
160,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2671683657753703
165,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2563541421672939
170,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.22379419957501134
175,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.23894761400749243
180,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.24317293329945966
185,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.23956616211442294
190,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.26560976053804153
195,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2541727172998267
200,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.24732095678020694
205,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.24324741562803187
210,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.23543822628611455
215,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2473390988254779
220,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.23742239433404
225,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.24461646357252775
230,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.24539612221917262
235,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.24221604261912044
240,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.24276583011049757
245,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2262871171160481
250,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.23412777627548453
255,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.21827499015876073
260,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.20359628633183646
265,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2157990522151052
270,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.21921722045064052
275,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2155226560627147
280,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.20679377946025257
285,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.21038227557584666
290,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2170460153582232
295,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.21016276588269167
300,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.21189006180069925
305,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.21435715246106224
310,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2121641856197587
315,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2100768517638123
320,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.2067782702680152
325,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.20644324069059894
330,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.19511366270531583
335,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.18297370144827685
340,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.17531702369064234
345,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.17776283224829958
350,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.17715374868402023
355,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.18083928497426316
360,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.18488457061124763
365,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.18318032541375784
370,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.18093548304260332
375,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.17620220206388515
380,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.18321366471234257
385,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.18783742541631154
390,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.18015667974812255
395,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.1764961143834115
400,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.16852016084088256
405,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.16103567985908784
410,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.1575652425104651
415,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.15622493492097483
420,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.15489878678466973
425,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.16676170394247763
430,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.15297680244228223
435,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.15253733360293253
440,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.16387021519087047
445,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.1483257113766318
450,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.15306735471393246
455,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.16074728631859864
460,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.15494759245615863
465,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.14830564162525406
470,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.14605781360150866
475,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.15031620716966937
480,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.14817348023287236
485,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.14693366156038312
490,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.14267127528766854
495,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.1414501248018657
500,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.14480739369751128
505,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.14037953816066479
510,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.14273158512765022
515,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.14008273589198478
520,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.1367412807947091
525,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.13732399965189257
530,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.13468711469055394
535,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.1320468827362027
540,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.12898810332008515
545,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.12792483636382973
550,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.13211069301318823
555,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.1288066291189674
560,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.1248588693892973
565,grid,corr,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,25,0.12837922073946711
