,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
33,grid,0.01,0.1,0.0,1.0013356465660632,4.723025276556935,5000,0.05738215202764037
54,grid,0.1,0.01,0.0,0.10013356465660632,0.47230252765569347,5000,0.05746133718032015
21,grid,0.005,0.1,0.0,1.0013356465660632,4.723025276556935,5000,0.09047762640222978
42,grid,0.05,0.01,0.0,0.10013356465660632,0.47230252765569347,5000,0.09054019292981821
45,grid,0.05,0.1,0.0,1.0013356465660632,4.723025276556935,5000,0.0996539606381929
55,grid,0.1,0.01,0.0,0.23300310237402622,0.16158955111962522,5000,0.10329581459211631
34,grid,0.01,0.1,0.0,2.330031023740262,1.6158955111962523,5000,0.10330094880637415
22,grid,0.005,0.1,0.0,2.330031023740262,1.6158955111962523,5000,0.1086387958923616
43,grid,0.05,0.01,0.0,0.23300310237402622,0.16158955111962522,5000,0.10868773635392646
23,grid,0.005,0.1,0.0,3.7164957651394266,0.2937126323193659,5000,0.14320392151137357
44,grid,0.05,0.01,0.0,0.37164957651394265,0.029371263231936593,5000,0.14322180131339424
56,grid,0.1,0.01,0.0,0.37164957651394265,0.029371263231936593,5000,0.19344876648497
35,grid,0.01,0.1,0.0,3.7164957651394266,0.2937126323193659,5000,0.19360963854804458
9,grid,0.001,0.1,0.0,1.0013356465660632,4.723025276556935,5000,0.2205759802840249
30,grid,0.01,0.01,0.0,0.10013356465660632,0.47230252765569347,5000,0.2205909426311731
51,grid,0.1,0.001,0.0,0.010013356465660631,0.047230252765569344,5000,0.22071069237264482
10,grid,0.001,0.1,0.0,2.330031023740262,1.6158955111962523,5000,0.2256443236523105
31,grid,0.01,0.01,0.0,0.23300310237402622,0.16158955111962522,5000,0.2256583242473954
52,grid,0.1,0.001,0.0,0.023300310237402623,0.01615895511196252,5000,0.22576287455355462
57,grid,0.1,0.1,0.0,1.0013356465660632,4.723025276556935,5000,0.2319442180294695
11,grid,0.001,0.1,0.0,3.7164957651394266,0.2937126323193659,5000,0.2320293617365697
32,grid,0.01,0.01,0.0,0.37164957651394265,0.029371263231936593,5000,0.23204163457791196
53,grid,0.1,0.001,0.0,0.03716495765139427,0.0029371263231936593,5000,0.23212602030683316
18,grid,0.005,0.01,0.0,0.10013356465660632,0.47230252765569347,5000,0.2762510436495174
39,grid,0.05,0.001,0.0,0.010013356465660631,0.047230252765569344,5000,0.27629306060934394
19,grid,0.005,0.01,0.0,0.23300310237402622,0.16158955111962522,5000,0.2799653507203985
40,grid,0.05,0.001,0.0,0.023300310237402623,0.01615895511196252,5000,0.2800002213728358
20,grid,0.005,0.01,0.0,0.37164957651394265,0.029371263231936593,5000,0.2841760146390451
41,grid,0.05,0.001,0.0,0.03716495765139427,0.0029371263231936593,5000,0.28420387809049846
48,grid,0.1,0.0001,0.0,0.0010013356465660632,0.004723025276556935,5000,0.3616842964904601
27,grid,0.01,0.001,0.0,0.010013356465660631,0.047230252765569344,5000,0.3617285273564592
6,grid,0.001,0.01,0.0,0.10013356465660632,0.47230252765569347,5000,0.3617321990100356
49,grid,0.1,0.0001,0.0,0.002330031023740262,0.0016158955111962522,5000,0.3627961327600756
