,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
0,grid,0.001,0.0001,0.0,0.0008698611918737799,0.0046115538876550215,5000,0.3911723127328025
1,grid,0.001,0.0001,0.0,0.002024100081090911,0.0014037299082809867,5000,0.39118310407782825
2,grid,0.001,0.0001,0.0,0.003228523269839222,0.000255148432290284,5000,0.3911942139026923
3,grid,0.001,0.001,0.0,0.008698611918737798,0.04611553887655022,5000,0.38833606924649555
4,grid,0.001,0.001,0.0,0.020241000810909106,0.01403729908280987,5000,0.38844200497685333
5,grid,0.001,0.001,0.0,0.032285232698392216,0.00255148432290284,5000,0.3885527264380739
6,grid,0.001,0.01,0.0,0.08698611918737799,0.46115538876550216,5000,0.361622344694542
7,grid,0.001,0.01,0.0,0.2024100081090911,0.1403729908280987,5000,0.36259188006748594
8,grid,0.001,0.01,0.0,0.32285232698392213,0.0255148432290284,5000,0.36361415278001963
9,grid,0.001,0.1,0.0,0.86986119187378,4.611553887655023,5000,0.22012989638156477
10,grid,0.001,0.1,0.0,2.024100081090911,1.403729908280987,5000,0.22438684700951533
11,grid,0.001,0.1,0.0,3.228523269839222,0.255148432290284,5000,0.2296534904212865
12,grid,0.005,0.0001,0.0,0.0008698611918737799,0.0046115538876550215,5000,0.3898979666417453
13,grid,0.005,0.0001,0.0,0.002024100081090911,0.0014037299082809867,5000,0.38995117409429103
14,grid,0.005,0.0001,0.0,0.003228523269839222,0.000255148432290284,5000,0.3900067498491951
15,grid,0.005,0.001,0.0,0.008698611918737798,0.04611553887655022,5000,0.376089118768995
16,grid,0.005,0.001,0.0,0.020241000810909106,0.01403729908280987,5000,0.3765990875837523
17,grid,0.005,0.001,0.0,0.032285232698392216,0.00255148432290284,5000,0.3771333875437832
18,grid,0.005,0.01,0.0,0.08698611918737799,0.46115538876550216,5000,0.27590059314174803
19,grid,0.005,0.01,0.0,0.2024100081090911,0.1403729908280987,5000,0.27908240140083146
20,grid,0.005,0.01,0.0,0.32285232698392213,0.0255148432290284,5000,0.2826552178669685
21,grid,0.005,0.1,0.0,0.86986119187378,4.611553887655023,5000,0.08946833520808382
22,grid,0.005,0.1,0.0,2.024100081090911,1.403729908280987,5000,0.10316996051958958
23,grid,0.005,0.1,0.0,3.228523269839222,0.255148432290284,5000,0.1292178223679625
24,grid,0.01,0.0001,0.0,0.0008698611918737799,0.0046115538876550215,5000,0.3883256267664251
25,grid,0.01,0.0001,0.0,0.002024100081090911,0.0014037299082809867,5000,0.3884316178651934
26,grid,0.01,0.0001,0.0,0.003228523269839222,0.000255148432290284,5000,0.3885422810780034
27,grid,0.01,0.001,0.0,0.008698611918737798,0.04611553887655022,5000,0.36161863912315856
28,grid,0.01,0.001,0.0,0.020241000810909106,0.01403729908280987,5000,0.36258843283213477
29,grid,0.01,0.001,0.0,0.032285232698392216,0.00255148432290284,5000,0.3636099763963149
30,grid,0.01,0.01,0.0,0.08698611918737799,0.46115538876550216,5000,0.22014506149023233
31,grid,0.01,0.01,0.0,0.2024100081090911,0.1403729908280987,5000,0.22440139907213394
32,grid,0.01,0.01,0.0,0.32285232698392213,0.0255148432290284,5000,0.22966659968704234
33,grid,0.01,0.1,0.0,0.86986119187378,4.611553887655023,5000,0.054921221913536634
34,grid,0.01,0.1,0.0,2.024100081090911,1.403729908280987,5000,0.08926754587714453
35,grid,0.01,0.1,0.0,3.228523269839222,0.255148432290284,5000,0.1568881988316543
