Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39136267509587397
5,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3913678378669432
10,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39162592448199807
15,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39152157214582683
20,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39142358450455406
25,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39141397477692597
30,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39128421736944174
35,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3916904261837727
40,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39142809485523034
45,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.391360047727077
50,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.391586331099936
55,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39184821575338136
60,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3915045938943986
65,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39162570072085934
70,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39166088263729815
75,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3914387234335832
80,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3915705742098019
85,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3917917339401853
90,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39164239451814464
95,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3915159383242248
100,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39151512875912464
105,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39171005060920405
110,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39170623148465067
115,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3916446221738695
120,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3915403745912509
125,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39150571720296434
130,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3912700031857276
135,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3917530816439415
140,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3914578020039686
145,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39137648312733897
150,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3916537358551313
155,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39141541015994574
160,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3912096691147837
165,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39126416337836833
170,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3913321795133484
175,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3916971730596458
180,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.391341154000717
185,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39142736559042
190,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3914696404821051
195,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39174465413049353
200,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39151820902696255
205,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39151444807264113
210,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39178555303138574
215,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39166206394120007
220,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39157985320009614
225,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3914148884424714
230,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.3919025679106729
235,grid,corr,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,7,0.39176378536944045
