Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3691897878282445
5,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3699590351691834
10,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3699919703744511
15,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3702142591503469
20,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.370030619076663
25,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3698368792216933
30,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36988951949486204
35,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36954901974711807
40,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3696249396395601
45,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36959042820514965
50,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3692377561164345
55,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36937589494884837
60,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36956817687666976
65,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36944174936786645
70,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36931941997368445
75,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3693754611760296
80,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36927803405935744
85,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.369404567889847
90,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36920756678198385
95,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3688828426111448
100,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36950846288230454
105,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36917710287328853
110,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3690336497427721
115,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3690884396823345
120,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36910076725225427
125,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3690224117272587
130,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36910801046584807
135,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36905837738800495
140,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36890513019299576
145,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3687346027058208
150,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.368826811709393
155,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3689743039217096
160,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3686748434060495
165,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36884482236950866
170,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36870242331063574
175,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36889977234071836
180,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.368917884519528
185,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36888258873726887
190,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36887392701550914
195,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3686038583582416
200,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36865594808828006
205,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36872069755883363
210,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36842550237415583
215,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36836945612297467
220,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36833482862069
225,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3681586982027385
230,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3683052504223454
235,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3684352267090931
240,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36849560524749747
245,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3684573118501646
250,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36853720509689425
255,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3681932303673535
260,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.368231092916977
265,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3684966079718338
270,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36827214315518997
275,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36852879300468144
280,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3681784305346223
285,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3688382168510427
290,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3688218771443975
295,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36901513799200447
300,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3689359935573667
305,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36880147164980703
310,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36888292198762873
315,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3688100667068651
320,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3683323189238754
325,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3685586774873443
330,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3686154844764137
335,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.3684007160977679
340,ring,corr,0.01,0.0001,0.0,0.023273880627864334,1e-07,3,0.36839111098678046
