Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4067555768297467
5,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40685684779055353
10,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40642812626288893
15,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4067408681556073
20,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4070967071501078
25,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4073534902213263
30,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40648708172804704
35,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40703075626446616
40,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40651780582624586
45,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4065235258951404
50,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4064950497777282
55,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4065577131617205
60,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40680992201017885
65,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40711742654529437
70,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40662572801447805
75,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40694474946118897
80,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4067199667636642
85,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4069989659545393
90,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4066217600321267
95,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4063396861320885
100,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40681960011471274
105,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4070133591925288
110,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4065833966504433
115,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40673461375752573
120,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4064442474802501
125,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40647769382906973
130,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4067216059238421
135,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40697875048129295
140,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.406856213103176
145,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4066810737839629
150,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40657596563554455
155,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40672893029807666
160,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40673950134926284
165,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40689110361312564
170,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4071775240447032
175,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40691234367585205
180,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40655505118417123
185,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4065140662866358
190,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4067571234736572
195,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40663526272840433
200,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40642290965186856
205,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4065624187134258
210,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4066968855467211
215,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4069592204112391
220,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40674370604535603
225,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40651117623172417
230,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40688250381318447
235,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4069353176108522
240,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40700903966190904
245,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40710218197183645
250,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4060854159843168
255,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40636334288302234
260,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4069245171600533
265,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40651170578846163
270,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4068033672869825
275,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4068487747611421
280,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4067095148759873
285,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40712712430782094
290,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4063361783596334
295,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40660687349877245
300,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4067216647857317
305,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4072289534716056
310,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40687786979185825
315,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40721834116810296
320,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4065556659551397
325,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.406456945408469
330,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4066163147597721
335,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4069745589160242
340,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40724609803224243
345,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4063780346764949
350,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40711078748319107
355,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4068939743055118
360,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40694214169975196
365,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4070472841262306
370,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40675739630006924
375,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40651030126793364
380,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4066805942744589
385,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40704998387064784
390,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40641789002804807
395,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40666389829195626
400,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4068314951542763
405,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4065372487136083
410,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40666862447600305
415,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40646391675168103
420,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4069902604462141
425,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40664151189470743
430,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40656098803858953
435,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4070427807688477
440,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40655909066988327
445,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40673088533163493
450,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40656560161831057
455,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4066599391170327
460,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4064317357677478
465,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.406561783837032
470,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40628453048654956
475,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4065888623624986
480,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40674444685226097
485,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4063240881363982
490,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4067017695763727
495,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40668631252222287
500,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4069835479469812
505,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4069526016047914
510,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4065900144879664
515,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4066211240662164
520,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40639552854146355
525,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40651751734297314
530,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40641512209568054
535,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4064952011126518
540,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4062136689768582
545,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.407129923698217
550,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4071196650740869
555,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4070119787236792
560,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4067201761805693
565,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40701129519569634
570,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40656772284776244
575,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4068527305183667
580,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40658820470071666
585,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4068783577504005
590,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4068891817387731
595,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.40679637739843566
600,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4070520676345166
605,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4068378171410647
610,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4066336044930856
615,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4064320001989974
620,ring,corr,0.01,1e-05,0.0,0.0018496610393723763,1e-07,3,0.4066302362015053
