Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.39136267509587397
5,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3913695179668063
10,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3916275559111124
15,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3915230351777764
20,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.39142472937712414
25,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.39141506721731123
30,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3912852373560053
35,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3916914333967506
40,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3914288467414174
45,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.39136071471041833
50,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3915866689855557
55,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3918484412387431
60,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3915046673241296
65,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3916261286192656
70,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.39166167926627504
75,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.39143960834855585
80,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3915714336510111
85,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3917925540895846
90,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3916430680268931
95,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3915168503826463
100,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3915162281281318
105,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.39171087022373385
110,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.39170717198985583
115,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.39164596542118635
120,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3915420381351089
125,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.39150813003815443
130,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3912727658428321
135,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.39175629352655195
140,ring,corr,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5,0.3914611667928013
