Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.39136267509587397
5,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.4079491910020223
10,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.4075021242376443
15,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.40562047426988934
20,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.40213622092183987
25,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.40151584080828173
30,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.4005003111219211
35,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.4005845276384612
40,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.3976044165877405
45,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.39658333541821633
50,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.3933891330955984
55,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.3924730242520136
60,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.3904868155077925
65,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.3938965149098479
70,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.39742592582184777
75,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.3978296687474171
80,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.39758466685345173
85,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.3973656100544538
90,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.3955547476700676
95,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.39766568611891373
100,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.3993650060778813
105,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.3966024108933297
110,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.39763365426451525
115,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.40147474735267574
120,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.40451339523477836
125,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.4120182867292981
130,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.4152835358671392
135,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.4204287432537185
140,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.4214179366037115
145,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.42002571647815157
150,ring,corr,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5,0.4262157489339393
