,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
54,ring,0.05,0.01,0.0,0.4641402930478156,1.8662222959192003,5000,0.17610794699055554
27,ring,0.005,0.1,0.0,4.641402930478157,18.66222295919201,5000,0.1761214644298514
12,ring,0.001,0.1,0.0,4.641402930478157,18.66222295919201,5000,0.2369493161309903
39,ring,0.01,0.01,0.0,0.4641402930478156,1.8662222959192003,5000,0.2369583927913409
66,ring,0.1,0.001,0.0,0.046414029304781564,0.18662222959192,5000,0.2370280625887869
67,ring,0.1,0.001,0.0,0.10348045877787365,0.09332975649625455,5000,0.2784043175389336
69,ring,0.1,0.01,0.0,0.4641402930478156,1.8662222959192003,5000,0.2784702520803031
40,ring,0.01,0.01,0.0,1.0348045877787364,0.9332975649625456,5000,0.2784785053500232
13,ring,0.001,0.1,0.0,10.348045877787367,9.332975649625459,5000,0.2784875665795465
42,ring,0.01,0.1,0.0,4.641402930478157,18.66222295919201,5000,0.27877880047631887
24,ring,0.005,0.01,0.0,0.4641402930478156,1.8662222959192003,5000,0.28716230946757343
51,ring,0.05,0.001,0.0,0.046414029304781564,0.18662222959192,5000,0.28718477057008096
52,ring,0.05,0.001,0.0,0.10348045877787365,0.09332975649625455,5000,0.3090847208884909
25,ring,0.005,0.01,0.0,1.0348045877787364,0.9332975649625456,5000,0.309101727504461
68,ring,0.1,0.001,0.0,0.14456828799849997,0.02317381672831412,5000,0.32034845168199677
41,ring,0.01,0.01,0.0,1.4456828799849994,0.23173816728314123,5000,0.32058109041578203
14,ring,0.001,0.1,0.0,14.456828799849998,2.3173816728314134,5000,0.3206114610683633
53,ring,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5000,0.3284925676832697
26,ring,0.005,0.01,0.0,1.4456828799849994,0.23173816728314123,5000,0.32854455502532215
63,ring,0.1,0.0001,0.0,0.0046414029304781565,0.018662222959192006,5000,0.3647598650719685
36,ring,0.01,0.001,0.0,0.046414029304781564,0.18662222959192,5000,0.36481892192856924
9,ring,0.001,0.01,0.0,0.4641402930478156,1.8662222959192003,5000,0.36482448751735774
64,ring,0.1,0.0001,0.0,0.010348045877787366,0.009332975649625456,5000,0.36978852640986554
37,ring,0.01,0.001,0.0,0.10348045877787365,0.09332975649625455,5000,0.36987147470957443
10,ring,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5000,0.36988015637681876
65,ring,0.1,0.0001,0.0,0.014456828799849995,0.0023173816728314124,5000,0.3735618352610555
38,ring,0.01,0.001,0.0,0.14456828799849997,0.02317381672831412,5000,0.3736615909172492
