Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,0.39136267509587397
5,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,9.220672635856921
10,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,8.974634099392965
15,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,7.772718311146856
20,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,6.001615596983383
25,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,5.941228057980738
30,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,5.510048239631784
35,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,5.09629557082722
40,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,4.149353370265521
45,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,4.192343693657407
50,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,3.477686584572839
55,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,3.3766112378460056
60,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,3.0113711337896487
65,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,3.8148832111978717
70,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,4.402962973257939
75,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,4.296088199901999
80,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,4.412071926336979
85,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,4.191520823799326
90,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,3.987875567228416
95,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,4.6187273860782225
100,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,5.219035634369677
105,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,4.567497915271053
110,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,4.506840775401341
115,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,6.348456068475972
120,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,8.764071379050886
125,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,14.150750717233285
130,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,16.30272931511509
135,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,21.507609093526415
140,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,21.719873885708473
145,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,21.334255141150994
150,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,28.868857108805017
155,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,31.00977964165899
160,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,30.337867617260333
165,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,29.189001490092505
170,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,23.34452704775269
175,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,30.95530909517836
180,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,34.276491208073935
185,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,36.27144094446842
190,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,44.812569455577034
195,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,44.0288815842512
200,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,42.13105061053529
205,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,42.98190960803018
210,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,40.89809430918879
215,centralized,ldp,0.1,0.1,0.0,8.031273039270017,0,10,45.80592928990899
