,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
9,centralized,0.1,0.001,0.0,0.08031273039270018,0,5000,0.2592157828601025
4,centralized,0.01,0.01,0.0,0.8031273039270017,0,5000,0.2592215635316799
1,centralized,0.005,0.01,0.0,0.8031273039270017,0,5000,0.29948954438448067
6,centralized,0.05,0.001,0.0,0.08031273039270018,0,5000,0.29949185580398474
7,centralized,0.05,0.01,0.0,0.8031273039270017,0,5000,0.3436782737100652
2,centralized,0.005,0.1,0.0,8.031273039270017,0,5000,0.34387806554171885
3,centralized,0.01,0.001,0.0,0.08031273039270018,0,5000,0.3677900912110507
0,centralized,0.005,0.001,0.0,0.08031273039270018,0,5000,0.379286725605732
10,centralized,0.1,0.01,0.0,0.8031273039270017,0,5000,0.6860719267374501
5,centralized,0.01,0.1,0.0,8.031273039270017,0,5000,0.6871921245379645
8,centralized,0.05,0.1,0.0,8.031273039270017,0,5000,9.000742788122055
11,centralized,0.1,0.1,0.0,8.031273039270017,0,5000,17.470433511140993
