,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
0,centralized,0.005,0.001,0.0,0.056947603745280365,0,5000,0.37823157857705286
1,centralized,0.005,0.01,0.0,0.5694760374528036,0,5000,0.2907808439186611
2,centralized,0.005,0.1,0.0,5.694760374528037,0,5000,0.21922488227812045
3,centralized,0.01,0.001,0.0,0.056947603745280365,0,5000,0.36573312812568914
4,centralized,0.01,0.01,0.0,0.5694760374528036,0,5000,0.24311585121288323
5,centralized,0.01,0.1,0.0,5.694760374528037,0,5000,0.38925358506613367
6,centralized,0.05,0.001,0.0,0.056947603745280365,0,5000,0.2907981069693667
7,centralized,0.05,0.01,0.0,0.5694760374528036,0,5000,0.21916945169122337
8,centralized,0.05,0.1,0.0,5.694760374528037,0,5000,4.100197764996213
9,centralized,0.1,0.001,0.0,0.056947603745280365,0,5000,0.24316633434108106
10,centralized,0.1,0.01,0.0,0.5694760374528036,0,5000,0.3887454046996956
11,centralized,0.1,0.1,0.0,5.694760374528037,0,5000,13.463937756991701
