Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647857324660351
5,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3645022069972621
10,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3644805205065429
15,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646832635105338
20,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36463117534240497
25,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646789239742847
30,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646895046599452
35,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36461175703714943
40,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646868726585575
45,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36443473602865095
50,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646169147542786
55,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36478337966535235
60,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3649276004412727
65,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646383039427299
70,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36468006735796976
75,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36453611073807424
80,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36457752786346076
85,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647670225239159
90,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3648073508726738
95,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36478645857722725
100,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3643129905075161
105,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647378862201869
110,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3648333399229202
115,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3645272059102701
120,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36465554336393047
125,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3648655119833918
130,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646619109644771
135,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36482588765438184
140,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36472745764134307
145,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3644939645322225
150,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36477722965377846
155,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3648595019815821
160,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36471672065990446
165,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36462098722199365
170,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646098555781738
175,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36448361980154
180,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36453629922519026
185,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36455944590561473
190,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647430416050008
195,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3649381734254056
200,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3648750488429461
205,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646932703902851
210,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36462491995636825
215,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647459869792036
220,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3648368400324966
225,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36434359951957185
230,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3645441350001364
235,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3651087315185094
240,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.364695929295902
245,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36440164654131724
250,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3648737241170684
255,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36501916886876495
260,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36489261246115157
265,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36462485733366146
270,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3643150168837427
275,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647792224454245
280,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3645967113059193
285,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3648213953780366
290,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36464180631415577
295,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3645932851703704
300,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36472547332950633
305,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36446014668928484
310,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36503332237141783
315,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646952378124837
320,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3645521758847313
325,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36464018314099866
330,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36468903612431014
335,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3645421028838154
340,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36461449339100915
345,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3649637019499241
350,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36458462631110244
355,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3644429100178984
360,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647393850073911
365,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647484087424917
370,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36457408997686414
375,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3648782279808508
380,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36489535443403254
385,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36451337405640016
390,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646825161806432
395,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36470733192617644
400,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3644151113991779
405,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647080351570646
410,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36465227300907277
415,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36469398255709107
420,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36474882214793924
425,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647327467927417
430,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36456022992052517
435,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646995923883749
440,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36452207453279584
445,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36479651070593144
450,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3645317184730188
455,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36459014316894134
460,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36465902700116304
465,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36437306924317414
470,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36444085626795064
475,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36442293436265605
480,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36465451856644704
485,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36449931776421063
490,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647455677437266
495,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36471712344235463
500,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3648019946967006
505,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646765692350483
510,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36459235134318013
515,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3645822392090853
520,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647124450579522
525,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647950333514902
530,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3649589529200197
535,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36476964404442846
540,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36470248382685466
545,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36463410709398825
550,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647701518869233
555,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3645694398125312
560,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647051129453026
565,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36476481584484244
570,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36481068561941177
575,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36474259111384455
580,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3649132445518961
585,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36476895863542014
590,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36468519849881587
595,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36477644622038874
600,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36448436035256637
605,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3645861058354739
610,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646439872049638
615,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3644860632400547
620,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36492695023569
625,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3642630818623622
630,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36454818523071186
635,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36468832939942364
640,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646853460274345
645,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3648853929509468
650,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647373268651062
655,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36466592613760707
660,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.364612683643204
665,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36457859947600735
670,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3642613557311757
675,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36466302216033897
680,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3647293459139548
685,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36468605621521055
690,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36467753654614765
695,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3644242262587054
700,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36484274585929
705,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36466246147625225
710,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36482353044455773
715,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646637987248882
720,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36465659219144975
725,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3648651409269863
730,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36464416937095867
735,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36481987095475266
740,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3649639730390576
745,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36481915455233294
750,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36463240377779405
755,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36465888587180795
760,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36456021610651934
765,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3646241854837534
770,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.3645700023891376
775,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36465324174113656
780,centralized,ldp,0.0001,1e-05,0.0,0.002400884527927058,0,3,0.36467146241101134
