Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39136267509587397
5,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39881984334280174
10,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.3984729185713529
15,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.3972078735174662
20,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39513768647240377
25,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39455140906438324
30,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39373445479564895
35,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39371406302776335
40,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39184454110482636
45,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.3910031899730254
50,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.38920863619959944
55,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.38862123782177294
60,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.3872068366730421
65,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.38876852523916916
70,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39038877680393413
75,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39026453923224436
80,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.3899137055186851
85,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.38972542399831744
90,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.38842120530279467
95,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.3892150470041883
100,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.38987505309011616
105,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.3882857340674378
110,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.388572416734038
115,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.3902568541041468
120,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.3914511610127429
125,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39492585554562687
130,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.396146859422128
135,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.3986440452957477
140,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.3987523179660013
145,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39779605295937237
150,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.40057816002859004
155,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.4012603751478627
160,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.4004656464612527
165,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.3997729643806073
170,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39641548135776083
175,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.39968719174326417
180,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.4007157707632212
185,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.40100472091095074
190,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.4052402622503929
195,grid,ldp,0.01,0.01,0.0,0.3774265129364392,0,25,0.40461723749587164
