Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38799986393944563
5,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38747387406460077
10,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38776374927845425
15,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38818864122757935
20,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38778734175614127
25,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3873428808756967
30,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38764544100370646
35,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38756872036876855
40,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38785474118344654
45,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3875293514399947
50,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3876048706670442
55,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38742220354501944
60,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38773470847148417
65,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3877402919634926
70,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38767573966267066
75,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3876541547650303
80,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3877660950472056
85,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3876437658562616
90,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38779978773179735
95,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3880188117748131
100,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3878550711554314
105,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3879647134127273
110,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3876797906205409
115,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3875608739582882
120,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38740159412704855
125,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38726638053511253
130,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38751452334572334
135,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3873170621201385
140,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3875959280506618
145,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3876150017968447
150,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38752500830158154
155,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3876586578945328
160,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3875619365965245
165,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3877598365632914
170,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38784813851821565
175,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3877481534135505
180,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38753197159134034
185,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3877095653704219
190,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3874317473686125
195,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38760224432484147
200,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3873854583027526
205,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38729091615725175
210,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38718581025719667
215,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3871626243487537
220,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3868402458560182
225,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3871381909310436
230,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38707922346922086
235,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3867136448726948
240,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3866542043927502
245,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3868802716722092
250,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3867707922486536
255,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.386862739005309
260,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.386865680807142
265,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3867144249164489
270,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38695799512938234
275,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38683983023485735
280,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38690193001145956
285,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3870505949208304
290,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38704683281363916
295,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38707846207862506
300,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3870254106691028
305,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38701257298290104
310,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38696281684104117
315,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3872898572412189
320,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38710379594374555
325,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.387155206547261
330,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38708174539721885
335,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38674807127140676
340,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3873643102115796
345,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3871535436157043
350,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3870262704376931
355,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.386945513907787
360,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38724624750111303
365,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38681506544312527
370,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3871296128479823
375,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3872309460686051
380,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3871851714979868
385,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.38718132300496855
390,grid,ldp,0.1,1e-05,0.0,0.002400884527927058,0,3,0.3868011053849413
