Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35589288628249127
5,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35587905775520634
10,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3556588200074928
15,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35564332348585204
20,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3558271459352358
25,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35614558813868713
30,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35579056820160826
35,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3559923282944708
40,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35623390807034994
45,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3562335058900401
50,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35570710222463486
55,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3556326344006292
60,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3554475997451342
65,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35594551150771514
70,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3556471810434587
75,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35608022477948154
80,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3559429581648178
85,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35631576157126577
90,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35616869406632157
95,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3557771014662976
100,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35607791490852025
105,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35625503998638486
110,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3560138895548509
115,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3557648032861238
120,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3558137050612544
125,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35572861457034244
130,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3561340087866658
135,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3555518225449342
140,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3560335757344141
145,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35589140894982263
150,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35567234681143245
155,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3560450502359135
160,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3557974879691408
165,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3558090957056823
170,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3558342449164036
175,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35612332167082983
180,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35627603014146947
185,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3557412230591094
190,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3559951941606271
195,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3556280851859718
200,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3558570426300036
205,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35609967402549836
210,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35607344091347415
215,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35563413273453004
220,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3556517435868217
225,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35599473768394485
230,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3561557051221259
235,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3561088302040668
240,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35612164545830205
245,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35590034455809216
250,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3559832317617473
255,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3561615640609249
260,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3557101058305232
265,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35589717708678326
270,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3559443448257087
275,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3556844652290394
280,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3556776765126025
285,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3560986185974452
290,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35567522734507606
295,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35571980885656473
300,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3555716039387087
305,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3555876263256579
310,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.355761914901373
315,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3560136263882481
320,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3561194950895834
325,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35627089059660333
330,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3563416969959795
335,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.3561370262573499
340,ring,ldp,0.0001,1e-05,0.0,0.0004503353833104608,0,20,0.35568449310751327
