Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.39136267509587397
5,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.5560083031235479
10,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.5481393269888779
15,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.5310756209081338
20,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.500527947613318
25,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.49659175515585774
30,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.48870155258465764
35,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.48456877730687953
40,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.4615249216762759
45,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.45474770928122765
50,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.42873471563423415
55,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.4203057201482584
60,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.4069442192209082
65,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.4330425193589522
70,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.4574498707773009
75,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.460361986265855
80,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.45903384746274556
85,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.4557800633644775
90,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.4449931641364526
95,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.4619765262298937
100,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.47523033219521393
105,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.45201527093237426
110,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.4589390761666544
115,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.49245130799469494
120,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.5227988748038185
125,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.5968971882577866
130,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.6310240142337155
135,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.6839253311842765
140,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.6930888941706755
145,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.6837706874388
150,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.7588248259265856
155,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.7861045047721565
160,ring,ldp,0.005,0.1,0.0,10.993907340220082,0,7,0.7795612989880135
