Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.1076
5,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.6301
10,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.6874
15,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.7346
20,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.7387
25,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.7688
30,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.784
35,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.7859
40,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8023
45,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8074
50,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8183
55,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8178
60,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8255
65,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8253
70,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8328
75,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8334
80,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8429
85,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8427
90,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8441
95,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8491
100,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8491
105,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8533
110,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8556
115,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8558
120,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8601
125,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8593
130,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8619
135,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8655
140,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8643
145,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8671
150,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8653
155,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8668
160,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.867
165,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8683
170,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8718
175,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8735
180,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.875
185,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8739
190,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8736
195,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8749
200,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8756
205,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8789
210,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8761
215,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8791
220,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8792
225,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8777
230,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8796
235,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8808
240,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8815
245,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.883
250,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8805
255,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8851
260,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.88
265,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8821
270,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8821
275,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8869
280,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8868
285,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8876
290,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8866
295,ring,corr,0.1,10,0.0354545454545454,0.503496993987976,0.1,0.8866
