Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.1076
5,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.5589
10,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.6123
15,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.6633
20,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.6669
25,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.7026
30,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.7325
35,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.7492
40,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.7607
45,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.7793
50,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.7809
55,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.792
60,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8002
65,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8098
70,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8131
75,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8128
80,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8236
85,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8283
90,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8259
95,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8285
100,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8323
105,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8357
110,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.838
115,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8381
120,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8444
125,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8458
130,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8469
135,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8529
140,ring,corr,0.5,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8545
