Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.1076
5,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.6167
10,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.6701
15,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.7269
20,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.7188
25,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.7526
30,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.78
35,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.7779
40,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.7891
45,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.7989
50,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8064
55,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8128
60,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8212
65,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8244
70,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8285
75,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8272
80,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8397
85,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.842
90,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8396
95,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8425
100,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8451
105,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8484
110,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8503
115,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8506
120,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8593
125,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8583
130,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8588
135,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8633
140,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8646
145,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8674
150,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8655
155,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8695
160,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8711
165,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8679
170,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8727
175,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8723
180,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8751
185,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8747
190,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8765
195,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8757
200,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8747
205,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8801
210,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8776
215,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8786
220,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8789
225,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8799
230,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8812
235,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8817
240,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8841
245,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8853
250,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8821
255,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8872
260,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8835
265,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8868
270,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8843
275,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.888
280,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8878
285,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8894
290,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8893
295,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8879
300,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8892
305,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8898
310,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8905
315,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.889
320,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8894
325,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8913
330,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8909
335,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8919
340,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8927
345,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8916
350,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8926
355,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8934
360,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8933
365,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8919
370,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8905
375,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8936
380,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8941
385,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8931
390,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8941
395,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.896
400,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8945
405,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.893
410,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8972
415,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8946
420,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8955
425,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8952
430,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8956
435,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8969
440,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8949
445,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8943
450,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8951
455,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8964
460,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8971
465,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8961
470,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8967
475,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8975
480,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.898
485,ring,corr,1,1.0,0.0035454545454545,0.0503496993987976,0.1,0.8962
