Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.1076
5,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.263
10,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.5057
15,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.6536
20,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.6392
25,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7065
30,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7153
35,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.6975
40,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7232
45,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7192
50,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7381
55,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7414
60,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7352
65,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7389
70,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7325
75,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7408
80,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7588
85,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7543
90,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7434
95,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7629
100,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7514
105,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7669
110,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7827
115,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7758
120,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7775
125,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7921
130,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7928
135,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7912
140,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7869
145,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7821
150,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7857
155,ring,corr,1,10,0.0354545454545454,0.503496993987976,0.1,0.7928
