,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.1,0.1,0.0002818181818181,0.0062712424849699,1000,0.6683
1,ring,0.1,1.0,0.0028181818181818,0.0627124248496994,1000,0.8878
2,ring,0.1,10.0,0.0281818181818181,0.627124248496994,1000,0.9031
3,ring,0.5,0.1,0.0002818181818181,0.0062712424849699,1000,0.8575
4,ring,0.5,1.0,0.0028181818181818,0.0627124248496994,1000,0.9063
5,ring,0.5,10.0,0.0281818181818181,0.627124248496994,1000,0.8281
6,ring,1.0,0.1,0.0002818181818181,0.0062712424849699,1000,0.8817
7,ring,1.0,1.0,0.0028181818181818,0.0627124248496994,1000,0.9076
8,ring,1.0,10.0,0.0281818181818181,0.627124248496994,1000,0.8019
9,ring,5.0,0.1,0.0002818181818181,0.0062712424849699,1000,0.9059
10,ring,5.0,1.0,0.0028181818181818,0.0627124248496994,1000,0.8417
11,ring,5.0,10.0,0.0281818181818181,0.627124248496994,1000,0.7903
