Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.1076
5,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.3972
10,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.4376
15,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.4826
20,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.5115
25,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.5393
30,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.5502
35,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.562
40,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.5757
45,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.5943
50,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.6069
55,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.6157
60,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.6194
65,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.6314
70,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.6391
75,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.6415
80,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.6511
85,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.6571
90,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.6635
95,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.6689
100,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.674
105,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.686
110,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.6954
115,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7041
120,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.713
125,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7213
130,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7255
135,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7348
140,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7426
145,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7494
150,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7581
155,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7619
160,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7682
165,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7748
170,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7776
175,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7826
180,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7885
185,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7905
190,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7942
195,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7963
200,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.7983
205,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.8016
210,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.8026
215,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.8061
220,ring,corr,0.1,1.0,0.0024545454545454,0.0688937875751503,3,0.8095
