Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.1076
5,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.4472
10,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.6566
15,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.6889
20,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.6788
25,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7117
30,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.6924
35,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.676
40,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.6984
45,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.6971
50,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.6976
55,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.6978
60,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.6987
65,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7109
70,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.6862
75,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7082
80,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7123
85,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.706
90,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7123
95,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7159
100,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.714
105,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7195
110,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7391
115,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7202
120,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7323
125,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7489
130,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7592
135,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7563
140,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7584
145,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7558
150,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7636
155,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7646
160,ring,corr,5,1.0,0.0024545454545454,0.0688937875751503,3,0.7513
