,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.1,0.1,0.0002454545454545,0.006889378757515,1000,0.6682
11,ring,5.0,10.0,0.0245454545454545,0.688937875751503,1000,0.7764
8,ring,1.0,10.0,0.0245454545454545,0.688937875751503,1000,0.7901
5,ring,0.5,10.0,0.0245454545454545,0.688937875751503,1000,0.8115
10,ring,5.0,1.0,0.0024545454545454,0.0688937875751503,1000,0.8277
3,ring,0.5,0.1,0.0002454545454545,0.006889378757515,1000,0.8576
6,ring,1.0,0.1,0.0002454545454545,0.006889378757515,1000,0.8817
1,ring,0.1,1.0,0.0024545454545454,0.0688937875751503,1000,0.8873
2,ring,0.1,10.0,0.0245454545454545,0.688937875751503,1000,0.8987
9,ring,5.0,0.1,0.0002454545454545,0.006889378757515,1000,0.9047
7,ring,1.0,1.0,0.0024545454545454,0.0688937875751503,1000,0.9049
4,ring,0.5,1.0,0.0024545454545454,0.0688937875751503,1000,0.9055
