Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.1076
5,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.1278
10,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.1343
15,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.1406
20,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.1459
25,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.1515
30,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.1571
35,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.1649
40,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.17
45,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.176
50,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.182
55,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.19
60,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.1974
65,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.2056
70,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.2116
75,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.2196
80,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.2276
85,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.236
90,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.243
95,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.2516
100,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.2598
105,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.267
110,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.2762
115,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.284
120,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.2927
125,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.3014
130,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.3076
135,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.3143
140,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.3222
145,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.3295
150,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.3366
155,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.3428
160,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.3494
165,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.3559
170,centralized,cdp,0.05,0.1,0.0009295548308476868,0,0.001,0.3617
