,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,centralized,0.05,0.1,0.0009295548308476868,0,3000,0.7306842105263158
1,centralized,0.05,1.0,0.00929554830847687,0,3000,0.8969368421052633
2,centralized,0.05,10.0,0.0929554830847687,0,3000,0.9159
3,centralized,0.1,0.1,0.0009295548308476868,0,3000,0.8031736842105262
4,centralized,0.1,1.0,0.00929554830847687,0,3000,0.9053368421052631
5,centralized,0.1,10.0,0.0929554830847687,0,3000,0.9070263157894737
6,centralized,0.5,0.1,0.0009295548308476868,0,3000,0.8934894736842104
7,centralized,0.5,1.0,0.00929554830847687,0,3000,0.9181842105263157
8,centralized,0.5,10.0,0.0929554830847687,0,3000,0.8570894736842104
9,centralized,1.0,0.1,0.0009295548308476868,0,3000,0.9034736842105263
10,centralized,1.0,1.0,0.00929554830847687,0,3000,0.9151000000000002
11,centralized,1.0,10.0,0.0929554830847687,0,3000,0.8472894736842106
12,centralized,5.0,0.1,0.0009295548308476868,0,3000,0.9185315789473685
13,centralized,5.0,1.0,0.00929554830847687,0,3000,0.8631947368421052
14,centralized,5.0,10.0,0.0929554830847687,0,3000,0.8413947368421052
