Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.1076
5,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.6796
10,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.7458
15,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.7801
20,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8002
25,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8161
30,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.834
35,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8392
40,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8484
45,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8512
50,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8554
55,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8611
60,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8657
65,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.867
70,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8687
75,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8732
80,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8744
85,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8779
90,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8779
95,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8812
100,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8821
105,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8831
110,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8824
115,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8855
120,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8865
125,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8844
130,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8864
135,centralized,cdp,0.05,10,0.02937338428213078,0,0.5,0.8879
