,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,centralized,0.05,0.1,0.0002690103799242438,0,1000,0.6654
3,centralized,0.1,0.1,0.0002690103799242438,0,1000,0.7089
6,centralized,0.5,0.1,0.0002690103799242438,0,1000,0.8537
1,centralized,0.05,1.0,0.0026901037992424384,0,1000,0.8679
14,centralized,5.0,10.0,0.026901037992424385,0,1000,0.8822
9,centralized,1.0,0.1,0.0002690103799242438,0,1000,0.8858
4,centralized,0.1,1.0,0.0026901037992424384,0,1000,0.8899
11,centralized,1.0,10.0,0.026901037992424385,0,1000,0.9051
12,centralized,5.0,0.1,0.0002690103799242438,0,1000,0.9104
7,centralized,0.5,1.0,0.0026901037992424384,0,1000,0.9127
2,centralized,0.05,10.0,0.026901037992424385,0,1000,0.913
10,centralized,1.0,1.0,0.0026901037992424384,0,1000,0.9206
8,centralized,0.5,10.0,0.026901037992424385,0,1000,0.9208
5,centralized,0.1,10.0,0.026901037992424385,0,1000,0.9217
13,centralized,5.0,1.0,0.0026901037992424384,0,1000,0.9275
