Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.1076
5,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.5032
10,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.5442
15,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.5712
20,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.5948
25,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.6153
30,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.6359
35,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.6473
40,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.6596
45,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.6689
50,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.6758
55,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.6821
60,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.6841
65,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.6875
70,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.6937
75,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.6991
80,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7016
85,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7045
90,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7062
95,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7129
100,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.722
105,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7265
110,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7312
115,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7369
120,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7387
125,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7418
130,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7454
135,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7489
140,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.754
145,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.757
150,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7633
155,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7687
160,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7765
165,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7787
170,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.782
175,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7846
180,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7863
185,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7898
190,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7916
195,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7924
200,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7941
205,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.7991
210,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.801
215,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8028
220,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8061
225,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8087
230,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8118
235,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8147
240,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8172
245,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8211
250,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8208
255,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8243
260,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8255
265,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8263
270,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8279
275,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8288
280,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8311
285,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8314
290,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8338
295,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8347
300,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.838
305,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8406
310,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8419
315,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8437
320,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8442
325,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8455
330,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8478
335,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8484
340,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8493
345,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8502
350,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8504
355,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8518
360,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8526
365,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8537
370,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8543
375,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8553
380,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8559
385,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8562
390,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8563
395,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.857
400,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8577
405,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8579
410,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8583
415,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8584
420,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8599
425,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8612
430,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8607
435,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8615
440,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.862
445,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8617
450,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8626
455,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8644
460,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8647
465,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8649
470,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8655
475,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8661
480,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8666
485,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8671
490,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8672
495,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8671
500,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8679
505,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8688
510,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8691
515,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8691
520,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.87
525,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8708
530,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8707
535,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8712
540,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8718
545,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8719
550,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8723
555,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8725
560,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8726
565,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8729
570,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8733
575,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.874
580,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8742
585,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8749
590,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8751
595,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8754
600,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8756
605,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8762
610,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8764
615,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8765
620,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8769
625,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8774
630,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8775
635,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8783
640,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8783
645,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8788
650,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8785
655,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8787
660,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8795
665,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8797
670,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8796
675,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8805
680,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8804
685,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8801
690,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8812
695,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8814
700,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.881
705,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8813
710,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8817
715,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8821
720,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8821
725,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8824
730,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8823
735,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8823
740,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8827
745,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8836
750,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8829
755,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.883
760,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8841
765,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8843
770,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8849
775,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8853
780,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8852
785,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8854
790,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8853
795,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8855
800,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8856
805,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8854
810,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8852
815,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8865
820,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8858
825,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8863
830,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8865
835,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8864
840,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8871
845,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8875
850,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8873
855,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.887
860,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8874
865,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8875
870,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8875
875,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8879
880,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8874
885,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8877
890,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8881
895,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8877
900,centralized,cdp,0.1,1.0,0.0015780101965398154,0,15,0.8883
