Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,1,10,0.015780101965398155,0,15,0.1076
5,centralized,cdp,1,10,0.015780101965398155,0,15,0.5937
10,centralized,cdp,1,10,0.015780101965398155,0,15,0.6989
15,centralized,cdp,1,10,0.015780101965398155,0,15,0.8096
20,centralized,cdp,1,10,0.015780101965398155,0,15,0.7913
25,centralized,cdp,1,10,0.015780101965398155,0,15,0.8413
30,centralized,cdp,1,10,0.015780101965398155,0,15,0.8463
35,centralized,cdp,1,10,0.015780101965398155,0,15,0.8702
40,centralized,cdp,1,10,0.015780101965398155,0,15,0.8717
45,centralized,cdp,1,10,0.015780101965398155,0,15,0.8691
50,centralized,cdp,1,10,0.015780101965398155,0,15,0.8826
55,centralized,cdp,1,10,0.015780101965398155,0,15,0.8723
60,centralized,cdp,1,10,0.015780101965398155,0,15,0.8783
65,centralized,cdp,1,10,0.015780101965398155,0,15,0.8786
70,centralized,cdp,1,10,0.015780101965398155,0,15,0.8718
75,centralized,cdp,1,10,0.015780101965398155,0,15,0.8974
80,centralized,cdp,1,10,0.015780101965398155,0,15,0.8868
85,centralized,cdp,1,10,0.015780101965398155,0,15,0.8936
90,centralized,cdp,1,10,0.015780101965398155,0,15,0.8923
95,centralized,cdp,1,10,0.015780101965398155,0,15,0.8609
100,centralized,cdp,1,10,0.015780101965398155,0,15,0.9047
105,centralized,cdp,1,10,0.015780101965398155,0,15,0.9043
110,centralized,cdp,1,10,0.015780101965398155,0,15,0.9045
115,centralized,cdp,1,10,0.015780101965398155,0,15,0.8985
120,centralized,cdp,1,10,0.015780101965398155,0,15,0.9048
125,centralized,cdp,1,10,0.015780101965398155,0,15,0.904
130,centralized,cdp,1,10,0.015780101965398155,0,15,0.9068
135,centralized,cdp,1,10,0.015780101965398155,0,15,0.9062
140,centralized,cdp,1,10,0.015780101965398155,0,15,0.909
145,centralized,cdp,1,10,0.015780101965398155,0,15,0.9054
150,centralized,cdp,1,10,0.015780101965398155,0,15,0.9028
