Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.1076
5,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.6468
10,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.7019
15,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.8079
20,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.8098
25,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.8224
30,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.8761
35,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.8848
40,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.8853
45,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.8878
50,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.8941
55,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.8959
60,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.8982
65,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9005
70,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.902
75,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.905
80,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9064
85,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.907
90,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9078
95,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9121
100,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9112
105,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9121
110,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9131
115,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9138
120,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9133
125,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9132
130,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9154
135,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9171
140,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9174
145,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9172
150,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.917
155,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9187
160,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9186
165,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9191
170,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9197
175,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9186
180,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9208
185,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9207
190,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9211
195,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9213
200,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9211
205,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9212
210,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9203
215,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9223
220,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9229
225,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9238
230,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9241
235,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9228
240,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9237
245,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9233
250,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9236
255,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9246
260,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9236
265,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9246
270,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9242
275,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.925
280,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9243
285,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9247
290,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9253
295,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9262
300,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.925
305,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9256
310,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9252
315,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9277
320,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9263
325,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9275
330,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9278
335,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9272
340,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9273
345,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9281
350,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9271
355,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9286
360,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.929
365,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9281
370,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.928
375,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9282
380,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.929
385,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9293
390,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9292
395,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9285
400,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9288
405,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.929
410,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9286
415,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9287
420,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9295
425,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9297
430,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9296
435,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9285
440,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.93
445,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9303
450,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9298
455,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9288
460,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.929
465,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9294
470,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9293
475,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9291
480,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9292
485,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9304
490,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9316
495,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9304
500,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9308
505,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9297
510,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9311
515,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9296
520,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9302
525,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9298
530,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9295
535,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9302
540,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9294
545,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9292
550,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9307
555,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9296
560,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9304
565,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9301
570,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9295
575,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9305
580,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9295
585,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.93
590,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9296
595,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9299
600,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9305
605,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9296
610,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9311
615,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9301
620,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9301
625,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9295
630,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9305
635,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9291
640,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.93
645,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9305
650,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9307
655,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9301
660,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9308
665,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.931
670,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9305
675,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9321
680,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9319
685,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9324
690,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9326
695,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9319
700,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9322
705,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9325
710,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.932
715,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9321
720,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9327
725,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9317
730,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9323
735,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9325
740,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9329
745,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9336
750,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9346
755,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9321
760,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9331
765,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9336
770,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9336
775,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9333
780,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9325
785,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9323
790,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9324
795,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.9335
800,centralized,cdp,5,1.0,0.0015780101965398154,0,15,0.932
