Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.1076
5,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.6183
10,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.7464
15,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.828
20,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.7821
25,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.803
30,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.8332
35,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.88
40,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.8801
45,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.8793
50,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.8878
55,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.8886
60,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.8897
65,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.8954
70,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.8986
75,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9021
80,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9009
85,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9033
90,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9044
95,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9079
100,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9082
105,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9083
110,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9098
115,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9094
120,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9077
125,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9066
130,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9103
135,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9128
140,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9119
145,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9129
150,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9114
155,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9141
160,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9149
165,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9155
170,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9172
175,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.919
180,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9178
185,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9183
190,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9169
195,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9179
200,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9195
205,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9179
210,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9184
215,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9187
220,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9186
225,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9187
230,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9192
235,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9192
240,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9196
245,centralized,cdp,0.5,10,0.021921820282489474,0,5,0.9185
