,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,grid,0.05,0.1,0.0035,0.0005509018036072,3000,0.7327052631578947
1,grid,0.05,1.0,0.035,0.0055090180360721,3000,0.893021052631579
2,grid,0.05,10.0,0.35,0.0550901803607214,3000,0.8447684210526315
3,grid,0.1,0.1,0.0035,0.0005509018036072,3000,0.8038631578947367
4,grid,0.1,1.0,0.035,0.0055090180360721,3000,0.8965210526315789
5,grid,0.1,10.0,0.35,0.0550901803607214,3000,0.8151421052631578
6,grid,0.5,0.1,0.0035,0.0005509018036072,3000,0.890142105263158
7,grid,0.5,1.0,0.035,0.0055090180360721,3000,0.8591684210526317
8,grid,0.5,10.0,0.35,0.0550901803607214,3000,0.7942789473684211
9,grid,1.0,0.1,0.0035,0.0005509018036072,3000,0.897157894736842
10,grid,1.0,1.0,0.035,0.0055090180360721,3000,0.8234631578947368
11,grid,1.0,10.0,0.35,0.0550901803607214,3000,0.7930157894736842
12,grid,5.0,0.1,0.0035,0.0005509018036072,3000,0.8701105263157894
13,grid,5.0,1.0,0.035,0.0055090180360721,3000,0.7933526315789473
14,grid,5.0,10.0,0.35,0.0550901803607214,3000,0.7914315789473685
