Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.1076
5,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.5687
10,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.7008
15,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.7337
20,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.7757
25,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8145
30,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8108
35,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8297
40,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8329
45,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8373
50,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8402
55,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8417
60,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8461
65,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8534
70,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8499
75,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8577
80,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8627
85,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8619
90,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8633
95,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8671
100,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8651
105,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8672
110,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8684
115,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8674
120,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8674
125,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8694
130,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.87
135,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8709
140,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8629
145,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8691
150,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8691
155,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8702
160,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8739
165,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8685
170,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8723
175,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8704
180,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8681
185,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8714
190,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8662
195,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8743
200,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8759
205,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8768
210,grid,corr,5,1.0,0.0088775510204081,0.005563126252505,0.1,0.8765
