Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.1076
5,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.1531
10,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.1652
15,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.1775
20,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.1908
25,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.2048
30,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.2192
35,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.2379
40,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.2507
45,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.2671
50,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.2839
55,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.2992
60,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.3146
65,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.3288
70,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.3416
75,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.3539
80,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.3659
85,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.3767
90,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.3878
95,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.3983
100,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.4095
105,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.4196
110,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.4296
115,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.4413
120,grid,corr,0.005,2.0,0.02,0.0065090180360721,0.5,0.449
