Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.1076
5,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.7572
10,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.7945
15,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8209
20,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8367
25,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8492
30,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8642
35,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8661
40,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8714
45,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8739
50,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8759
55,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8797
60,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8823
65,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8821
70,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.885
75,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8877
80,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8865
85,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8881
90,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8889
95,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8911
100,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8916
105,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8919
110,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8925
115,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8935
120,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8939
125,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8943
130,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8963
135,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8962
140,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8975
145,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8971
150,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8979
155,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8996
160,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.899
165,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8994
170,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8995
175,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8997
180,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8984
185,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.901
190,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8999
195,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.8997
200,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9008
205,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9013
210,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9022
215,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9014
220,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9033
225,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9036
230,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.904
235,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9038
240,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9037
245,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9034
250,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9049
255,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9032
260,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9033
265,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9042
270,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9044
275,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9055
280,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9059
285,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9058
290,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9057
295,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9054
300,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9058
305,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9071
310,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9057
315,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.907
320,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9069
325,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9082
330,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9081
335,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9081
340,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9087
345,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9076
350,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9081
355,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9075
360,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9092
365,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9096
370,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9089
375,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.91
380,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9094
385,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9094
390,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9086
395,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9095
400,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.91
405,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.909
410,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9101
415,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9085
420,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9084
425,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9084
430,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9091
435,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9104
440,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9105
445,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9101
450,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9107
455,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.911
460,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9115
465,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9097
470,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9118
475,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9127
480,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9118
485,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9124
490,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9118
495,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9117
500,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9107
505,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9119
510,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9121
515,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9128
520,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9139
525,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9137
530,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9138
535,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.913
540,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9132
545,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9125
550,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9125
555,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9133
560,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9117
565,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9134
570,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9113
575,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.912
580,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9115
585,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9128
590,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9128
595,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9124
600,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9116
605,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9123
610,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9121
615,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9127
620,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9122
625,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9123
630,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9134
635,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9133
640,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9136
645,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9124
650,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9123
655,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9136
660,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9132
665,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9135
670,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9127
675,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9146
680,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9138
685,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9129
690,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9142
695,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.914
700,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9133
705,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9133
710,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9141
715,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.914
720,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9133
725,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.914
730,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9137
735,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9136
740,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9132
745,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9138
750,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9137
755,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9139
760,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9128
765,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.915
770,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9145
775,grid,corr,0.1,10,0.05,0.0689779559118236,0.5,0.9142
