,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,grid,0.05,0.1,0.0006938775510204,0.0004769539078156,1000,0.6656
1,grid,0.05,1.0,0.006938775510204,0.0047695390781563,1000,0.8676
2,grid,0.05,10.0,0.0693877551020408,0.0476953907815631,1000,0.909
3,grid,0.1,0.1,0.0006938775510204,0.0004769539078156,1000,0.7087
4,grid,0.1,1.0,0.006938775510204,0.0047695390781563,1000,0.8898
5,grid,0.1,10.0,0.0693877551020408,0.0476953907815631,1000,0.9145
6,grid,0.5,0.1,0.0006938775510204,0.0004769539078156,1000,0.854
7,grid,0.5,1.0,0.006938775510204,0.0047695390781563,1000,0.9088
8,grid,0.5,10.0,0.0693877551020408,0.0476953907815631,1000,0.8761
9,grid,1.0,0.1,0.0006938775510204,0.0004769539078156,1000,0.885
10,grid,1.0,1.0,0.006938775510204,0.0047695390781563,1000,0.9152
11,grid,1.0,10.0,0.0693877551020408,0.0476953907815631,1000,0.8638
12,grid,5.0,0.1,0.0006938775510204,0.0004769539078156,1000,0.9079
13,grid,5.0,1.0,0.006938775510204,0.0047695390781563,1000,0.8875
14,grid,5.0,10.0,0.0693877551020408,0.0476953907815631,1000,0.855
