Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.1076
5,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.6746
10,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.7433
15,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.7751
20,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.7971
25,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8116
30,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8312
35,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8352
40,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8446
45,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8491
50,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8522
55,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8602
60,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8642
65,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8656
70,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8679
75,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8726
80,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8731
85,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8772
90,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8774
95,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8796
100,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.881
105,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8822
110,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8809
115,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8853
120,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8846
125,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8829
130,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8843
135,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8865
140,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8887
145,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.889
150,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8893
155,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.891
160,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8898
165,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8904
170,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8909
175,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8913
180,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.892
185,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8927
190,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8923
195,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8934
200,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.893
205,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8933
210,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8944
215,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8955
220,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8963
225,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8964
230,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8969
235,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8965
240,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8963
245,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8972
250,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8975
255,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8974
260,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8974
265,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8991
270,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8984
275,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.9002
280,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8999
285,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.8996
290,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.9002
295,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.9003
300,grid,corr,0.05,10,0.05,0.0476953907815631,3,0.9002
