Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,1,10,0.05,0.0476953907815631,3,0.1076
5,grid,corr,1,10,0.05,0.0476953907815631,3,0.5863
10,grid,corr,1,10,0.05,0.0476953907815631,3,0.6597
15,grid,corr,1,10,0.05,0.0476953907815631,3,0.7355
20,grid,corr,1,10,0.05,0.0476953907815631,3,0.8004
25,grid,corr,1,10,0.05,0.0476953907815631,3,0.8267
30,grid,corr,1,10,0.05,0.0476953907815631,3,0.8348
35,grid,corr,1,10,0.05,0.0476953907815631,3,0.8392
40,grid,corr,1,10,0.05,0.0476953907815631,3,0.8439
45,grid,corr,1,10,0.05,0.0476953907815631,3,0.8398
50,grid,corr,1,10,0.05,0.0476953907815631,3,0.8522
55,grid,corr,1,10,0.05,0.0476953907815631,3,0.8534
60,grid,corr,1,10,0.05,0.0476953907815631,3,0.8553
65,grid,corr,1,10,0.05,0.0476953907815631,3,0.862
70,grid,corr,1,10,0.05,0.0476953907815631,3,0.8624
75,grid,corr,1,10,0.05,0.0476953907815631,3,0.8689
80,grid,corr,1,10,0.05,0.0476953907815631,3,0.8702
85,grid,corr,1,10,0.05,0.0476953907815631,3,0.8726
90,grid,corr,1,10,0.05,0.0476953907815631,3,0.875
95,grid,corr,1,10,0.05,0.0476953907815631,3,0.8765
100,grid,corr,1,10,0.05,0.0476953907815631,3,0.8773
105,grid,corr,1,10,0.05,0.0476953907815631,3,0.8768
110,grid,corr,1,10,0.05,0.0476953907815631,3,0.8715
115,grid,corr,1,10,0.05,0.0476953907815631,3,0.8756
120,grid,corr,1,10,0.05,0.0476953907815631,3,0.8788
125,grid,corr,1,10,0.05,0.0476953907815631,3,0.8731
130,grid,corr,1,10,0.05,0.0476953907815631,3,0.8751
135,grid,corr,1,10,0.05,0.0476953907815631,3,0.8785
140,grid,corr,1,10,0.05,0.0476953907815631,3,0.872
145,grid,corr,1,10,0.05,0.0476953907815631,3,0.8688
150,grid,corr,1,10,0.05,0.0476953907815631,3,0.8745
155,grid,corr,1,10,0.05,0.0476953907815631,3,0.8732
160,grid,corr,1,10,0.05,0.0476953907815631,3,0.879
165,grid,corr,1,10,0.05,0.0476953907815631,3,0.876
170,grid,corr,1,10,0.05,0.0476953907815631,3,0.8816
175,grid,corr,1,10,0.05,0.0476953907815631,3,0.8773
180,grid,corr,1,10,0.05,0.0476953907815631,3,0.8759
185,grid,corr,1,10,0.05,0.0476953907815631,3,0.8754
190,grid,corr,1,10,0.05,0.0476953907815631,3,0.8815
195,grid,corr,1,10,0.05,0.0476953907815631,3,0.8762
200,grid,corr,1,10,0.05,0.0476953907815631,3,0.8841
205,grid,corr,1,10,0.05,0.0476953907815631,3,0.8824
210,grid,corr,1,10,0.05,0.0476953907815631,3,0.8797
215,grid,corr,1,10,0.05,0.0476953907815631,3,0.881
220,grid,corr,1,10,0.05,0.0476953907815631,3,0.8837
225,grid,corr,1,10,0.05,0.0476953907815631,3,0.8786
230,grid,corr,1,10,0.05,0.0476953907815631,3,0.8823
235,grid,corr,1,10,0.05,0.0476953907815631,3,0.8839
240,grid,corr,1,10,0.05,0.0476953907815631,3,0.8871
245,grid,corr,1,10,0.05,0.0476953907815631,3,0.8797
250,grid,corr,1,10,0.05,0.0476953907815631,3,0.8812
255,grid,corr,1,10,0.05,0.0476953907815631,3,0.881
260,grid,corr,1,10,0.05,0.0476953907815631,3,0.8751
265,grid,corr,1,10,0.05,0.0476953907815631,3,0.8776
270,grid,corr,1,10,0.05,0.0476953907815631,3,0.8754
275,grid,corr,1,10,0.05,0.0476953907815631,3,0.8765
280,grid,corr,1,10,0.05,0.0476953907815631,3,0.8756
285,grid,corr,1,10,0.05,0.0476953907815631,3,0.8795
290,grid,corr,1,10,0.05,0.0476953907815631,3,0.8755
295,grid,corr,1,10,0.05,0.0476953907815631,3,0.878
300,grid,corr,1,10,0.05,0.0476953907815631,3,0.8757
305,grid,corr,1,10,0.05,0.0476953907815631,3,0.8773
310,grid,corr,1,10,0.05,0.0476953907815631,3,0.8796
315,grid,corr,1,10,0.05,0.0476953907815631,3,0.8857
320,grid,corr,1,10,0.05,0.0476953907815631,3,0.8847
325,grid,corr,1,10,0.05,0.0476953907815631,3,0.8826
330,grid,corr,1,10,0.05,0.0476953907815631,3,0.8804
335,grid,corr,1,10,0.05,0.0476953907815631,3,0.8834
340,grid,corr,1,10,0.05,0.0476953907815631,3,0.8806
345,grid,corr,1,10,0.05,0.0476953907815631,3,0.8786
350,grid,corr,1,10,0.05,0.0476953907815631,3,0.8794
355,grid,corr,1,10,0.05,0.0476953907815631,3,0.8811
360,grid,corr,1,10,0.05,0.0476953907815631,3,0.8812
365,grid,corr,1,10,0.05,0.0476953907815631,3,0.8824
370,grid,corr,1,10,0.05,0.0476953907815631,3,0.881
375,grid,corr,1,10,0.05,0.0476953907815631,3,0.8817
380,grid,corr,1,10,0.05,0.0476953907815631,3,0.879
385,grid,corr,1,10,0.05,0.0476953907815631,3,0.8824
390,grid,corr,1,10,0.05,0.0476953907815631,3,0.8822
395,grid,corr,1,10,0.05,0.0476953907815631,3,0.884
400,grid,corr,1,10,0.05,0.0476953907815631,3,0.8832
405,grid,corr,1,10,0.05,0.0476953907815631,3,0.8832
410,grid,corr,1,10,0.05,0.0476953907815631,3,0.8836
415,grid,corr,1,10,0.05,0.0476953907815631,3,0.882
420,grid,corr,1,10,0.05,0.0476953907815631,3,0.8796
425,grid,corr,1,10,0.05,0.0476953907815631,3,0.883
430,grid,corr,1,10,0.05,0.0476953907815631,3,0.8789
435,grid,corr,1,10,0.05,0.0476953907815631,3,0.8811
440,grid,corr,1,10,0.05,0.0476953907815631,3,0.8804
445,grid,corr,1,10,0.05,0.0476953907815631,3,0.8818
450,grid,corr,1,10,0.05,0.0476953907815631,3,0.8821
455,grid,corr,1,10,0.05,0.0476953907815631,3,0.8757
460,grid,corr,1,10,0.05,0.0476953907815631,3,0.881
465,grid,corr,1,10,0.05,0.0476953907815631,3,0.8826
470,grid,corr,1,10,0.05,0.0476953907815631,3,0.883
475,grid,corr,1,10,0.05,0.0476953907815631,3,0.879
480,grid,corr,1,10,0.05,0.0476953907815631,3,0.8806
485,grid,corr,1,10,0.05,0.0476953907815631,3,0.8812
490,grid,corr,1,10,0.05,0.0476953907815631,3,0.8811
495,grid,corr,1,10,0.05,0.0476953907815631,3,0.882
500,grid,corr,1,10,0.05,0.0476953907815631,3,0.8782
505,grid,corr,1,10,0.05,0.0476953907815631,3,0.8797
510,grid,corr,1,10,0.05,0.0476953907815631,3,0.8842
515,grid,corr,1,10,0.05,0.0476953907815631,3,0.884
520,grid,corr,1,10,0.05,0.0476953907815631,3,0.8875
525,grid,corr,1,10,0.05,0.0476953907815631,3,0.8816
530,grid,corr,1,10,0.05,0.0476953907815631,3,0.8822
535,grid,corr,1,10,0.05,0.0476953907815631,3,0.8841
540,grid,corr,1,10,0.05,0.0476953907815631,3,0.8865
545,grid,corr,1,10,0.05,0.0476953907815631,3,0.8836
550,grid,corr,1,10,0.05,0.0476953907815631,3,0.8858
555,grid,corr,1,10,0.05,0.0476953907815631,3,0.8846
560,grid,corr,1,10,0.05,0.0476953907815631,3,0.8835
565,grid,corr,1,10,0.05,0.0476953907815631,3,0.8836
570,grid,corr,1,10,0.05,0.0476953907815631,3,0.8816
575,grid,corr,1,10,0.05,0.0476953907815631,3,0.8828
580,grid,corr,1,10,0.05,0.0476953907815631,3,0.8834
585,grid,corr,1,10,0.05,0.0476953907815631,3,0.8819
590,grid,corr,1,10,0.05,0.0476953907815631,3,0.8802
595,grid,corr,1,10,0.05,0.0476953907815631,3,0.8806
600,grid,corr,1,10,0.05,0.0476953907815631,3,0.8796
605,grid,corr,1,10,0.05,0.0476953907815631,3,0.883
610,grid,corr,1,10,0.05,0.0476953907815631,3,0.8807
615,grid,corr,1,10,0.05,0.0476953907815631,3,0.8794
620,grid,corr,1,10,0.05,0.0476953907815631,3,0.8813
625,grid,corr,1,10,0.05,0.0476953907815631,3,0.88
630,grid,corr,1,10,0.05,0.0476953907815631,3,0.8827
635,grid,corr,1,10,0.05,0.0476953907815631,3,0.8839
640,grid,corr,1,10,0.05,0.0476953907815631,3,0.8809
645,grid,corr,1,10,0.05,0.0476953907815631,3,0.8802
650,grid,corr,1,10,0.05,0.0476953907815631,3,0.8803
655,grid,corr,1,10,0.05,0.0476953907815631,3,0.8826
