Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.1076
5,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.6231
10,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.6824
15,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.701
20,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.7253
25,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.7445
30,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.758
35,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.7693
40,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.7807
45,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.7863
50,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8019
55,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8117
60,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8184
65,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8214
70,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8253
75,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8345
80,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8408
85,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8494
90,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8509
95,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8553
100,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8601
105,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8611
110,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8619
115,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.865
120,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8666
125,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.867
130,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8691
135,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8704
140,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.873
145,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8738
150,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8756
155,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8771
160,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.879
165,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8801
170,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8803
175,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8824
180,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8827
185,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8834
190,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8834
195,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8841
200,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8852
205,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8862
210,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8865
215,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.887
220,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8876
225,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8888
230,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8889
235,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8892
240,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.889
245,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8909
250,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.89
255,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8906
260,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8906
265,grid,corr,5,0.1,0.0005,0.0004769539078156,3,0.8918
