Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.1076
5,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.6271
10,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.6854
15,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.719
20,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.7512
25,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.7716
30,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.7891
35,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.7981
40,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.811
45,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8193
50,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8354
55,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8432
60,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8478
65,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8489
70,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.853
75,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8574
80,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8587
85,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8637
90,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8652
95,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8689
100,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8715
105,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8736
110,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8735
115,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8776
120,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8785
125,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8779
130,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8797
135,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8814
140,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8829
145,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8832
150,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8856
155,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8859
160,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8871
165,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8879
170,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8874
175,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8883
180,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8892
185,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8901
190,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.889
195,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8893
200,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8906
205,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8911
210,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8912
215,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8924
220,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8928
225,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8934
230,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8942
235,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8937
240,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8937
245,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8944
250,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.895
255,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8952
260,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8953
265,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8958
270,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8961
275,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8967
280,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8968
285,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8974
290,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8981
295,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8973
300,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8982
305,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8983
310,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8986
315,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8982
320,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8977
325,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.899
330,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9
335,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8985
340,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8993
345,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8994
350,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8992
355,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.8997
360,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9006
365,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9008
370,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9011
375,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9007
380,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9005
385,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9
390,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9011
395,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.901
400,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9009
405,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9011
410,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9017
415,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.901
420,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9018
425,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.902
430,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9007
435,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9026
440,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9031
445,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9023
450,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9038
455,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9036
460,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9032
465,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9034
470,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9037
475,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9039
480,grid,corr,0.5,1.0,0.0030204081632653,0.0063567134268537,5,0.9042
