Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.1076
5,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.6241
10,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.7724
15,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8148
20,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.829
25,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8506
30,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8543
35,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8566
40,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8662
45,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8655
50,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.873
55,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8707
60,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8783
65,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.883
70,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8849
75,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8884
80,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8873
85,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8899
90,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8918
95,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8933
100,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8935
105,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8953
110,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8929
115,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.897
120,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8971
125,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8973
130,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.895
135,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8999
140,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8983
145,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8995
150,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9
155,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.8995
160,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9022
165,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9013
170,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9028
175,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9011
180,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9011
185,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9049
190,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.905
195,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9076
200,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9078
205,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9061
210,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9069
215,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9061
220,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9074
225,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.907
230,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9075
235,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9099
240,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9109
245,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.908
250,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9107
255,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9081
260,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9095
265,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9112
270,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9095
275,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9102
280,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9103
285,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9099
290,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9087
295,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9093
300,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9128
305,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9126
310,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.911
315,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9129
320,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9126
325,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9126
330,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9151
335,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.913
340,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9129
345,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9115
350,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.913
355,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9143
360,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9138
365,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9133
370,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9132
375,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9132
380,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.911
385,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9136
390,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9143
395,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9131
400,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9132
405,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9113
410,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.911
415,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9107
420,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9105
425,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9097
430,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9093
435,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9103
440,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9119
445,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.912
450,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9127
455,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9113
460,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9122
465,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9114
470,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9134
475,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9141
480,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9136
485,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9142
490,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9143
495,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.913
500,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9131
505,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9142
510,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9147
515,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9163
520,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9165
525,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9155
530,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9142
535,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9145
540,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9161
545,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9152
550,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9167
555,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9152
560,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9152
565,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9159
570,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9147
575,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9163
580,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.916
585,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9153
590,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9149
595,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9142
600,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9127
605,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9137
610,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.914
615,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9147
620,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9159
625,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9145
630,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9158
635,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9149
640,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9159
645,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9143
650,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9136
655,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9148
660,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9153
665,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9153
670,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9141
675,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9147
680,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9142
685,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9138
690,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9156
695,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9138
700,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9127
705,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9125
710,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9131
715,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9156
720,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9147
725,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9154
730,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.914
735,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9126
740,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9141
745,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9151
750,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.914
755,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9131
760,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9133
765,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9154
770,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.915
775,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9154
780,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9158
785,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9167
790,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9173
795,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.918
800,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9171
805,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9159
810,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9152
815,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.916
820,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9128
825,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9146
830,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9144
835,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9133
840,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9146
845,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.912
850,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9127
855,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.913
860,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9141
865,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9125
870,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9136
875,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9164
880,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9147
885,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9135
890,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9161
895,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9148
900,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9158
905,ring,corr,5,1.0,0.005,0.0178637274549098,0.1,0.9158
