Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.1076
5,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.6175
10,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.7159
15,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.7327
20,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.7687
25,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.7942
30,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8019
35,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8154
40,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8202
45,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8226
50,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8169
55,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8257
60,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8328
65,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8321
70,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8392
75,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8351
80,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8428
85,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8477
90,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8488
95,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8521
100,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8503
105,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.848
110,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8534
115,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8524
120,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8524
125,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8482
130,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8556
135,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8533
140,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8487
145,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.859
150,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8562
155,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8556
160,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8586
165,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8581
170,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8588
175,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8553
180,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.853
185,ring,corr,0.5,10,0.1,0.047875751503006,0.5,0.8564
