Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,1,10,0.1,0.047875751503006,0.5,0.1076
5,ring,corr,1,10,0.1,0.047875751503006,0.5,0.5197
10,ring,corr,1,10,0.1,0.047875751503006,0.5,0.6921
15,ring,corr,1,10,0.1,0.047875751503006,0.5,0.7203
20,ring,corr,1,10,0.1,0.047875751503006,0.5,0.7516
25,ring,corr,1,10,0.1,0.047875751503006,0.5,0.7742
30,ring,corr,1,10,0.1,0.047875751503006,0.5,0.776
35,ring,corr,1,10,0.1,0.047875751503006,0.5,0.7988
40,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8023
45,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8071
50,ring,corr,1,10,0.1,0.047875751503006,0.5,0.7926
55,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8063
60,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8118
65,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8175
70,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8223
75,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8211
80,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8282
85,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8339
90,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8327
95,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8358
100,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8355
105,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8359
110,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8406
115,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8385
120,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8346
125,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8328
130,ring,corr,1,10,0.1,0.047875751503006,0.5,0.841
135,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8362
140,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8363
145,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8457
150,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8443
155,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8403
160,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8437
165,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8439
170,ring,corr,1,10,0.1,0.047875751503006,0.5,0.844
175,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8408
180,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8364
185,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8427
190,ring,corr,1,10,0.1,0.047875751503006,0.5,0.8429
