Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.1076
5,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.3669
10,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.4212
15,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.4637
20,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.4965
25,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.5231
30,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.5485
35,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.5674
40,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.5855
45,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6005
50,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6099
55,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6199
60,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6247
65,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6337
70,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6404
75,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6467
80,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6507
85,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6568
90,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6587
95,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.662
100,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6698
105,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6711
110,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6745
115,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6776
120,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6787
125,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6808
130,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6818
135,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6843
140,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6869
145,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6881
150,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6917
155,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6935
160,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.6988
165,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7034
170,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7028
175,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7033
180,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.705
185,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7078
190,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7106
195,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7116
200,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7116
205,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7138
210,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7164
215,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7193
220,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7213
225,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7242
230,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.728
235,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7326
240,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7364
245,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7401
250,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7392
255,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7434
260,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7453
265,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7469
270,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7497
275,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7508
280,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7512
285,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7527
290,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7544
295,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7565
300,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7599
305,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7626
310,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7636
315,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7655
320,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7669
325,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7689
330,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.772
335,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7742
340,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7741
345,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7761
350,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7771
355,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.78
360,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.782
365,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.784
370,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7845
375,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7857
380,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7882
385,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7906
390,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7924
395,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7934
400,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7937
405,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7951
410,ring,corr,0.05,1.0,0.0050408163265306,0.0047695390781563,10,0.7963
