Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.1076
5,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.4932
10,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.5375
15,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.5658
20,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.5904
25,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.6114
30,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.6333
35,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.6476
40,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.6594
45,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.6697
50,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.6755
55,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.6812
60,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.6825
65,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.6863
70,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.6921
75,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.6981
80,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7003
85,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7031
90,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7041
95,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.708
100,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7161
105,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7187
110,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7207
115,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7236
120,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7214
125,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7241
130,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7237
135,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7268
140,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7294
145,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7319
150,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7372
155,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7414
160,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7485
165,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7512
170,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7512
175,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.752
180,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7537
185,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7578
190,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7605
195,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7602
200,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7616
205,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7668
210,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7697
215,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.7714
220,ring,corr,1,0.1,0.000504081632653,0.0004769539078156,10,0.774
