Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.1076
5,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.6132
10,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.7642
15,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8006
20,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8187
25,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8547
30,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8567
35,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8638
40,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8678
45,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8696
50,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8701
55,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8752
60,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8733
65,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8842
70,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8873
75,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8902
80,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8852
85,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8922
90,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8891
95,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8963
100,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8939
105,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8953
110,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8982
115,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.899
120,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8962
125,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8993
130,ring,corr,1,10,0.030204081632653,0.0688076152304609,15,0.8981
