Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.1076
5,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.7567
10,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.7946
15,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8207
20,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8355
25,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8482
30,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8629
35,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.865
40,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8703
45,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8729
50,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8751
55,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.879
60,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8813
65,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8819
70,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8843
75,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8872
80,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8862
85,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8882
90,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8879
95,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8906
100,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8912
105,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8915
110,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.892
115,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8933
120,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8934
125,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.894
130,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8966
135,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8961
140,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8971
145,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8968
150,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8976
155,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8993
160,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8981
165,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.899
170,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8993
175,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8995
180,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8976
185,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8992
190,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8991
195,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.8999
200,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9006
205,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9012
210,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9016
215,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.901
220,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9028
225,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9031
230,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9038
235,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9045
240,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9042
245,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9033
250,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9044
255,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.903
260,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9034
265,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9038
270,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.904
275,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9053
280,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9054
285,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.9059
290,ring,corr,0.1,10,0.05,0.0893587174348697,3,0.906
