,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.05,0.1,0.0005,0.0008935871743486,1000,0.6655
3,ring,0.1,0.1,0.0005,0.0008935871743486,1000,0.709
6,ring,0.5,0.1,0.0005,0.0008935871743486,1000,0.8542
1,ring,0.05,1.0,0.005,0.0089358717434869,1000,0.8677
14,ring,5.0,10.0,0.05,0.0893587174348697,1000,0.8853
9,ring,1.0,0.1,0.0005,0.0008935871743486,1000,0.8857
4,ring,0.1,1.0,0.005,0.0089358717434869,1000,0.8896
11,ring,1.0,10.0,0.05,0.0893587174348697,1000,0.8931
8,ring,0.5,10.0,0.05,0.0893587174348697,1000,0.9052
12,ring,5.0,0.1,0.0005,0.0008935871743486,1000,0.9088
7,ring,0.5,1.0,0.005,0.0089358717434869,1000,0.9105
2,ring,0.05,10.0,0.05,0.0893587174348697,1000,0.911
13,ring,5.0,1.0,0.005,0.0089358717434869,1000,0.9121
10,ring,1.0,1.0,0.005,0.0089358717434869,1000,0.9175
5,ring,0.1,10.0,0.05,0.0893587174348697,1000,0.9182
