Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.1076
5,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.3537
10,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.4111
15,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.4527
20,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.488
25,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.5164
30,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.5429
35,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.5625
40,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.5768
45,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.5909
50,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6026
55,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6147
60,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6186
65,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6268
70,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.636
75,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6412
80,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6457
85,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6515
90,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6551
95,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6601
100,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6651
105,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6704
110,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6717
115,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6753
120,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6761
125,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6785
130,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6799
135,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6825
140,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6849
145,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6863
150,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.692
155,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.692
160,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.6971
165,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.7021
170,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.7017
175,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.7025
180,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.7024
185,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.7054
190,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.7085
195,centralized,ldp,0.5,0.1,0.0013566372108610118,0,0.1,0.7077
