Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.1076
5,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.4714
10,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.6318
15,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.6776
20,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.7209
25,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.7233
30,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.7399
35,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.7513
40,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.7596
45,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.7727
50,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.7558
55,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.772
60,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.7768
65,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.7789
70,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.7887
75,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.787
80,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.7962
85,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.802
90,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8002
95,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8098
100,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8066
105,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8069
110,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8101
115,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8094
120,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8106
125,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8114
130,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8185
135,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8118
140,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8096
145,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8208
150,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8141
155,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8135
160,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8168
165,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8151
170,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8138
175,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.811
180,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8032
185,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8093
190,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.815
195,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8166
200,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8204
205,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8188
210,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8249
215,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8225
220,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8268
225,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8209
230,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8254
235,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8242
240,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.827
245,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8272
250,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8297
255,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8268
260,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8298
265,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8231
270,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8232
275,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.823
280,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8197
285,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8186
290,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8152
295,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8211
300,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8175
305,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8142
310,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8146
315,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8244
320,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8257
325,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8283
330,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8256
335,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8268
340,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8276
345,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8213
350,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8192
355,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8274
360,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.824
365,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8233
370,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8215
375,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8261
380,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8228
385,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8275
390,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8227
395,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.826
400,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8308
405,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8205
410,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8186
415,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8181
420,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.816
425,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8168
430,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8145
435,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8164
440,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8162
445,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8223
450,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8193
455,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8188
460,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8154
465,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8217
470,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8234
475,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.824
480,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8253
485,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8271
490,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8259
495,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8283
500,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8223
505,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8232
510,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8282
515,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8292
520,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8297
525,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8264
530,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8292
535,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8292
540,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8286
545,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8307
550,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.835
555,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8362
560,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8368
565,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.832
570,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8336
575,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8285
580,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.831
585,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8251
590,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8245
595,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8288
600,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8269
605,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8231
610,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8268
615,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.825
620,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8258
625,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8257
630,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8274
635,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8272
640,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8239
645,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8233
650,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8255
655,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8239
660,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8257
665,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8255
670,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8259
675,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8293
680,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8286
685,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8313
690,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8338
695,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8346
700,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8309
705,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8259
710,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8325
715,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8335
720,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8293
725,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.826
730,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.827
735,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8298
740,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8282
745,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8305
750,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8329
755,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8315
760,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8315
765,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.833
770,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8359
775,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8342
780,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8381
785,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8368
790,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8389
795,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8405
800,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8391
805,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8372
810,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8353
815,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8361
820,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8342
825,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8282
830,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8282
835,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8301
840,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8281
845,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8324
850,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.829
855,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8293
860,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8318
865,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.836
870,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8366
875,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8345
880,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8315
885,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8287
890,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.8387
895,centralized,ldp,0.5,10,0.13566372108610117,0,0.1,0.839
