Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.1076
5,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.4636
10,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.6473
15,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.6918
20,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.734
25,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.7416
30,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.7526
35,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.7681
40,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.7703
45,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.7853
50,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.7759
55,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.7848
60,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.7888
65,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.7937
70,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8036
75,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8011
80,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8112
85,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8142
90,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8139
95,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.822
100,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8194
105,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8191
110,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8226
115,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8204
120,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8205
125,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8211
130,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8283
135,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8258
140,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8217
145,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8319
150,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8258
155,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8268
160,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8294
165,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8271
170,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.827
175,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8236
180,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8186
185,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8242
190,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8266
195,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8292
200,centralized,ldp,5,1.0,0.013566372108610112,0,0.1,0.8323
