,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,centralized,0.05,0.1,0.001174935371285231,0,3000,0.729723076923077
3,centralized,0.1,0.1,0.001174935371285231,0,3000,0.801751282051282
14,centralized,5.0,10.0,0.11749353712852312,0,3000,0.8323717948717948
11,centralized,1.0,10.0,0.11749353712852312,0,3000,0.8374256410256411
8,centralized,0.5,10.0,0.11749353712852312,0,3000,0.8442487179487177
13,centralized,5.0,1.0,0.011749353712852314,0,3000,0.8484205128205128
6,centralized,0.5,0.1,0.001174935371285231,0,3000,0.893174358974359
5,centralized,0.1,10.0,0.11749353712852312,0,3000,0.8953487179487183
1,centralized,0.05,1.0,0.011749353712852314,0,3000,0.8960410256410256
9,centralized,1.0,0.1,0.001174935371285231,0,3000,0.902976923076923
4,centralized,0.1,1.0,0.011749353712852314,0,3000,0.9045128205128206
10,centralized,1.0,1.0,0.011749353712852314,0,3000,0.9051179487179485
2,centralized,0.05,10.0,0.11749353712852312,0,3000,0.9098076923076923
7,centralized,0.5,1.0,0.011749353712852314,0,3000,0.9128615384615384
12,centralized,5.0,0.1,0.001174935371285231,0,3000,0.9140974358974359
