,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,centralized,0.05,0.1,0.0007113482477885399,0,1000,0.6656
3,centralized,0.1,0.1,0.0007113482477885399,0,1000,0.7087
14,centralized,5.0,10.0,0.071134824778854,0,1000,0.8479
6,centralized,0.5,0.1,0.0007113482477885399,0,1000,0.854
11,centralized,1.0,10.0,0.071134824778854,0,1000,0.858
1,centralized,0.05,1.0,0.0071134824778854005,0,1000,0.8675
8,centralized,0.5,10.0,0.071134824778854,0,1000,0.8744
13,centralized,5.0,1.0,0.0071134824778854005,0,1000,0.8842
9,centralized,1.0,0.1,0.0007113482477885399,0,1000,0.885
4,centralized,0.1,1.0,0.0071134824778854005,0,1000,0.8896
12,centralized,5.0,0.1,0.0007113482477885399,0,1000,0.908
2,centralized,0.05,10.0,0.071134824778854,0,1000,0.9087
7,centralized,0.5,1.0,0.0071134824778854005,0,1000,0.9087
5,centralized,0.1,10.0,0.071134824778854,0,1000,0.9137
10,centralized,1.0,1.0,0.0071134824778854005,0,1000,0.9146
