Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.1076
5,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.6679
10,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.7406
15,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.7727
20,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.7946
25,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8089
30,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.828
35,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8335
40,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8436
45,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8481
50,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8504
55,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8601
60,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8644
65,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8645
70,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.867
75,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8719
80,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.872
85,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.876
90,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.877
95,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8786
100,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8801
105,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8823
110,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8802
115,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.884
120,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8842
125,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8827
130,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8834
135,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8853
140,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8883
145,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8879
150,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8886
155,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8913
160,centralized,ldp,0.05,10,0.06533041342077664,0,15,0.8897
