Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.1076
5,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.3603
10,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.4157
15,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.4591
20,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.4915
25,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.5194
30,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.547
35,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.5652
40,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.5813
45,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.5962
50,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6075
55,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6185
60,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6222
65,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6289
70,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6389
75,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6447
80,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6479
85,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6539
90,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6568
95,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6614
100,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6674
105,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6711
110,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6729
115,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6763
120,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6763
125,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6794
130,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6804
135,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6838
140,centralized,ldp,0.5,0.1,0.0009675896232146264,0,3,0.6855
