Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.1076
5,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.6981
10,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.7567
15,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.7781
20,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8001
25,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8211
30,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8395
35,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8445
40,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8521
45,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.856
50,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8605
55,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8672
60,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8738
65,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8721
70,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8742
75,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8784
80,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8782
85,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8801
90,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8819
95,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.885
100,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8859
105,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8867
110,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8861
115,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8895
120,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8899
125,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8875
130,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8908
135,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8911
140,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8916
145,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.891
150,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.891
155,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8924
160,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8932
165,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8931
170,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8944
175,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8947
180,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8937
185,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8957
190,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8945
195,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8954
200,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8963
205,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8968
210,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.899
215,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8966
220,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.898
225,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8982
230,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8979
235,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8985
240,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8984
245,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.898
250,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8981
255,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8976
260,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8988
265,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8989
270,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8995
275,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9003
280,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9004
285,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.8996
290,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9018
295,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9004
300,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9005
305,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9015
310,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9017
315,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9027
320,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9023
325,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9027
330,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9029
335,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9031
340,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9035
345,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9027
350,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9041
355,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9032
360,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9034
365,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9042
370,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9047
375,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9052
380,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9045
385,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9054
390,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9044
395,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.905
400,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9041
405,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9039
410,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9056
415,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9047
420,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9034
425,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9039
430,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9045
435,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9056
440,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9055
445,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9072
450,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9062
455,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9058
460,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9072
465,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9051
470,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9073
475,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9076
480,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9078
485,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9077
490,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9075
495,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9065
500,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9067
505,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9077
510,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9091
515,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9074
520,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9084
525,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9089
530,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9095
535,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9091
540,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9094
545,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9077
550,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9083
555,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9081
560,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9083
565,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9076
570,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9069
575,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9077
580,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.907
585,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.908
590,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9082
595,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9061
600,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9059
605,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.906
610,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9066
615,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9059
620,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9058
625,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9054
630,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9073
635,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9063
640,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9071
645,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9067
650,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9062
655,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9076
660,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9072
665,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9086
670,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9068
675,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9089
680,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9083
685,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9097
690,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.909
695,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9092
700,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9077
705,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9086
710,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9088
715,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.909
720,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.909
725,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9084
730,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9087
735,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9084
740,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9084
745,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.909
750,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.909
755,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9085
760,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9096
765,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9084
770,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9083
775,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9092
780,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9093
785,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9102
790,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9099
795,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9101
800,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9095
805,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9094
810,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9099
815,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9097
820,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9107
825,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9092
830,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9099
835,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.91
840,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.909
845,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.909
850,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.909
855,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9093
860,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9092
865,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9107
870,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9109
875,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9111
880,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9102
885,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9107
890,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9125
895,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.912
900,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9115
905,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9109
910,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9114
915,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9114
920,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9122
925,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9121
930,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9098
935,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9121
940,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9117
945,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9123
950,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9131
955,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9113
960,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.911
965,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9106
970,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9107
975,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9088
980,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9086
985,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9104
990,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9094
995,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9107
1000,centralized,ldp,1,1.0,0.008768728112995788,0,5,0.9103
