Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,5,10,0.0876872811299579,0,5,0.1076
5,centralized,ldp,5,10,0.0876872811299579,0,5,0.4383
10,centralized,ldp,5,10,0.0876872811299579,0,5,0.6236
15,centralized,ldp,5,10,0.0876872811299579,0,5,0.6851
20,centralized,ldp,5,10,0.0876872811299579,0,5,0.6953
25,centralized,ldp,5,10,0.0876872811299579,0,5,0.7522
30,centralized,ldp,5,10,0.0876872811299579,0,5,0.7494
35,centralized,ldp,5,10,0.0876872811299579,0,5,0.7835
40,centralized,ldp,5,10,0.0876872811299579,0,5,0.7783
45,centralized,ldp,5,10,0.0876872811299579,0,5,0.7774
50,centralized,ldp,5,10,0.0876872811299579,0,5,0.7811
55,centralized,ldp,5,10,0.0876872811299579,0,5,0.7567
60,centralized,ldp,5,10,0.0876872811299579,0,5,0.7817
65,centralized,ldp,5,10,0.0876872811299579,0,5,0.7986
70,centralized,ldp,5,10,0.0876872811299579,0,5,0.7997
75,centralized,ldp,5,10,0.0876872811299579,0,5,0.7999
80,centralized,ldp,5,10,0.0876872811299579,0,5,0.8038
85,centralized,ldp,5,10,0.0876872811299579,0,5,0.8114
90,centralized,ldp,5,10,0.0876872811299579,0,5,0.8068
95,centralized,ldp,5,10,0.0876872811299579,0,5,0.8083
100,centralized,ldp,5,10,0.0876872811299579,0,5,0.8165
105,centralized,ldp,5,10,0.0876872811299579,0,5,0.8092
110,centralized,ldp,5,10,0.0876872811299579,0,5,0.8174
115,centralized,ldp,5,10,0.0876872811299579,0,5,0.8014
120,centralized,ldp,5,10,0.0876872811299579,0,5,0.816
125,centralized,ldp,5,10,0.0876872811299579,0,5,0.8128
130,centralized,ldp,5,10,0.0876872811299579,0,5,0.8227
135,centralized,ldp,5,10,0.0876872811299579,0,5,0.8136
140,centralized,ldp,5,10,0.0876872811299579,0,5,0.8149
145,centralized,ldp,5,10,0.0876872811299579,0,5,0.8144
150,centralized,ldp,5,10,0.0876872811299579,0,5,0.8154
155,centralized,ldp,5,10,0.0876872811299579,0,5,0.8115
160,centralized,ldp,5,10,0.0876872811299579,0,5,0.8216
165,centralized,ldp,5,10,0.0876872811299579,0,5,0.8135
170,centralized,ldp,5,10,0.0876872811299579,0,5,0.8114
175,centralized,ldp,5,10,0.0876872811299579,0,5,0.8165
180,centralized,ldp,5,10,0.0876872811299579,0,5,0.8148
185,centralized,ldp,5,10,0.0876872811299579,0,5,0.81
190,centralized,ldp,5,10,0.0876872811299579,0,5,0.8142
195,centralized,ldp,5,10,0.0876872811299579,0,5,0.8131
200,centralized,ldp,5,10,0.0876872811299579,0,5,0.8293
205,centralized,ldp,5,10,0.0876872811299579,0,5,0.8205
210,centralized,ldp,5,10,0.0876872811299579,0,5,0.8195
215,centralized,ldp,5,10,0.0876872811299579,0,5,0.8223
220,centralized,ldp,5,10,0.0876872811299579,0,5,0.8281
225,centralized,ldp,5,10,0.0876872811299579,0,5,0.8194
230,centralized,ldp,5,10,0.0876872811299579,0,5,0.8288
235,centralized,ldp,5,10,0.0876872811299579,0,5,0.8285
240,centralized,ldp,5,10,0.0876872811299579,0,5,0.8328
245,centralized,ldp,5,10,0.0876872811299579,0,5,0.8298
250,centralized,ldp,5,10,0.0876872811299579,0,5,0.8298
255,centralized,ldp,5,10,0.0876872811299579,0,5,0.8296
260,centralized,ldp,5,10,0.0876872811299579,0,5,0.8276
265,centralized,ldp,5,10,0.0876872811299579,0,5,0.8253
270,centralized,ldp,5,10,0.0876872811299579,0,5,0.8215
275,centralized,ldp,5,10,0.0876872811299579,0,5,0.8208
280,centralized,ldp,5,10,0.0876872811299579,0,5,0.8161
285,centralized,ldp,5,10,0.0876872811299579,0,5,0.8194
290,centralized,ldp,5,10,0.0876872811299579,0,5,0.8149
295,centralized,ldp,5,10,0.0876872811299579,0,5,0.8206
300,centralized,ldp,5,10,0.0876872811299579,0,5,0.8005
305,centralized,ldp,5,10,0.0876872811299579,0,5,0.8188
310,centralized,ldp,5,10,0.0876872811299579,0,5,0.8167
