Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.1076
5,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.6304
10,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.7203
15,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.7556
20,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.7787
25,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.7957
30,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8118
35,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8183
40,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.832
45,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8359
50,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8412
55,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8482
60,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8534
65,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8556
70,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8571
75,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8623
80,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8616
85,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8671
90,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8676
95,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8721
100,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8728
105,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8732
110,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8751
115,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8774
120,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8784
125,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.878
130,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8778
135,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8799
140,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8814
145,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8832
150,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8832
155,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.884
160,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8853
165,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8853
170,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8852
175,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8855
180,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8855
185,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8857
190,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8857
195,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8881
200,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8874
205,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8866
210,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8877
215,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8875
220,grid,ldp,0.05,10,0.13594541711587949,0,0.1,0.8869
