Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.1076
5,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.1534
10,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.1652
15,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.1781
20,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.1905
25,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.2046
30,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.2184
35,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.2366
40,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.2509
45,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.2682
50,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.2832
55,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.2989
60,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.314
65,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.3283
70,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.3413
75,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.3537
80,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.3647
85,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.3763
90,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.3871
95,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.397
100,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.4093
105,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.4196
110,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.4287
115,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.4399
120,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.4482
125,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.4582
130,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.4668
135,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.4734
140,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.48
145,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.4869
150,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.4952
155,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5019
160,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5081
165,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.516
170,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.522
175,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5275
180,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5333
185,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5377
190,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5423
195,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.546
200,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5482
205,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5526
210,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5574
215,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.563
220,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5681
225,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5718
230,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5753
235,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5791
240,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5812
245,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5848
250,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5871
255,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5907
260,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5939
265,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5959
270,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.5991
275,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6022
280,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6029
285,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6045
290,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6063
295,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6092
300,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6111
305,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6126
310,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6143
315,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6157
320,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6179
325,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6196
330,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6219
335,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6238
340,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6255
345,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.627
350,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6288
355,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6304
360,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6327
365,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6342
370,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.635
375,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6358
380,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6372
385,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6391
390,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6405
395,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6411
400,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6421
405,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6429
410,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6448
415,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6455
420,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6479
425,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6493
430,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.651
435,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6518
440,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6529
445,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6534
450,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6539
455,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6553
460,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6562
465,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6578
470,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6594
475,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6607
480,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6619
485,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6625
490,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6635
495,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6639
500,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6646
505,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6656
510,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6648
515,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6657
520,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6667
525,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6668
530,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6675
535,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6675
540,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6677
545,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6686
550,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6691
555,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6699
560,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6697
565,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6715
570,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6714
575,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6715
580,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6727
585,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6743
590,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6734
595,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6742
600,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6751
605,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6749
610,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6756
615,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6765
620,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.677
625,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6783
630,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6789
635,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6787
640,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6794
645,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6802
650,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6812
655,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6817
660,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.682
665,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6829
670,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6839
675,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6846
680,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.685
685,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6849
690,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6858
695,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6865
700,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6861
705,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.687
710,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6876
715,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6877
720,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6881
725,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6886
730,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6885
735,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6882
740,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6885
745,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6889
750,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6897
755,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6907
760,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6908
765,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6915
770,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6915
775,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.692
780,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6928
785,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6932
790,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6931
795,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6937
800,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6938
805,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6941
810,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6943
815,grid,ldp,0.1,0.1,0.001359454171158795,0,0.1,0.6954
